CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
FRT,2022,4,116851120759.0,2567866998.0,600240212.0,604451944.0,,-17297320358.0,75703159202.0,179029518757.0,199662602484.0,-1057173725364.0,20900883834.0,-145178716783.0,-62855841124.0,-108159070441.0,0.0,0.0,-973774348637.0,-32721169150.0,239047620.0,-122700000000.0,957700000000.0,0.0,,35184906830.0,837702785300.0,11478000000.0,3571153259506.0,-3108359215675.0,,0.0,474272043831.0,338200480494.0,407960046455.0,-604451944.0,745556075005.0,,,,0.0,0.0,,,
FRT,2022,3,105769867333.0,1830657865.0,-6468950048.0,-816341484.0,,-49230648008.0,60488767728.0,111573353386.0,-243871247709.0,-343026067478.0,180884405272.0,-175182072597.0,-54602674065.0,-16091799.0,0.0,-15293000.0,-524255687990.0,-3617211538.0,0.0,-1267300000000.0,2115300000000.0,-2461125318.0,,27065516768.0,868987179912.0,0.0,5220309053109.0,-5601826625440.0,,0.0,-381517572331.0,-36786080409.0,444415298085.0,330828779.0,407960046455.0,,,,0.0,0.0,,,
FRT,2022,2,59053034221.0,1663405437.0,-2613665687.0,169356629.0,,-38917246838.0,48999379168.0,68354262930.0,-84994698644.0,4790926966.0,-105880988730.0,-66569377058.0,-56223362606.0,-1.0,0.0,-102799999.0,-240626037142.0,-36965135890.0,0.0,-2442200000000.0,2986200000000.0,0.0,,57295444263.0,564330308373.0,0.0,3891338682551.0,-4650575135059.0,,-39490896000.0,-798727348508.0,-475023077277.0,919122219286.0,316156076.0,444415298085.0,,,,0.0,0.0,,,
FRT,2022,1,203949391656.0,1662460971.0,3996809854.0,0.0,,-42408690253.0,46336598711.0,213536570939.0,4216068601.0,-191289789892.0,-89596512177.0,-61538293744.0,-41511002185.0,-27235874297.0,0.0,-669040001.0,-194087872756.0,-19812389212.0,0.0,-3245500000000.0,3240000000000.0,0.0,,39427868332.0,14115479120.0,0.0,2748014386731.0,-2754129323691.0,,0.0,-6114936960.0,-186087330596.0,1105209549882.0,0.0,919122219286.0,,,,0.0,0.0,,,
FRT,2021,4,417071944322.0,295711975.0,-61838641546.0,4872192604.0,,-53397959481.0,39968274285.0,346971522159.0,201923727574.0,-2101164580816.0,1070674579828.0,-52636312664.0,-39760288940.0,-65638509580.0,0.0,0.0,-639629862439.0,-443731178.0,0.0,-3178464094656.0,3646386231051.0,-669148.0,,33975454560.0,501453190629.0,0.0,5126161056149.0,-4231588555183.0,,0.0,894572500966.0,756395829156.0,348801453330.0,12267396.0,1105209549882.0,,,,0.0,0.0,,,
FRT,2021,3,60906111169.0,2515217968.0,82528723643.0,-4823657500.0,,-41228746622.0,36834001230.0,136731649888.0,-25911363830.0,-377405501708.0,543329586235.0,9881661832.0,-35665562490.0,-15232442017.0,0.0,0.0,235728027910.0,0.0,0.0,-4104500000000.0,3552000000000.0,-120627259686.0,,47389404471.0,-625737855215.0,10244000000.0,3475750782711.0,-3356357594447.0,,0.0,129637188264.0,-260372639041.0,609174092371.0,0.0,348801453330.0,,,,0.0,0.0,,,
FRT,2021,2,37493741470.0,492961269.0,-1598016031.0,4640247500.0,,-44132563071.0,34997277074.0,31893648211.0,165432999579.0,-4268214452.0,-449750969521.0,-19474641065.0,-29266279043.0,0.0,0.0,-554800000.0,-305988256291.0,-621924021.0,0.0,-2145896186341.0,2125357650962.0,0.0,,48776818535.0,27616359135.0,0.0,3106413696360.0,-2829477318749.0,,0.0,276936377611.0,-1435519545.0,610609611916.0,0.0,609174092371.0,,,,0.0,0.0,,,
FRT,2021,1,38668468616.0,507082595.0,752838853.0,0.0,,-29644462765.0,20429624172.0,30713551471.0,-33474626926.0,-634463341926.0,146698042903.0,18834913954.0,-18376295487.0,-9770069554.0,0.0,-1830600000.0,-501668425565.0,-1113204658.0,0.0,-3355039700237.0,1478594531487.0,0.0,,11434657532.0,-1866123715876.0,0.0,3723224687665.0,-1446327173706.0,,0.0,2276897513959.0,-90894627482.0,701504239398.0,0.0,610609611916.0,,,,0.0,0.0,,,
FRT,2020,4,10586508341.0,353598110.0,17042112889.0,-53865966.0,,-17395415193.0,13414851078.0,23947789259.0,-479721855620.0,184272689607.0,892239981754.0,-4072912756.0,-26348953379.0,0.0,-1974240000.0,3432284613.0,591774783478.0,-1017348867.0,0.0,-513329198107.0,14799344291.0,0.0,,7258030802.0,-492289171881.0,0.0,1976186465523.0,-1872880320338.0,,0.0,103306145185.0,202791756782.0,498712482616.0,0.0,701504239398.0,,,,0.0,0.0,,,
FRT,2020,3,-8491146049.0,365727288.0,9753589429.0,0.0,,-9037453024.0,23384695625.0,15975413269.0,297802980079.0,294816759682.0,-83975199382.0,5034598260.0,-4633150868.0,1.0,1974240000.0,-3673981990.0,523321659051.0,-313510911.0,0.0,-1267694515133.0,1165565859099.0,0.0,,-678592776.0,-103120759721.0,0.0,2510871760720.0,-2942042378440.0,,-78981792000.0,-510152409720.0,-89951510390.0,588663993006.0,0.0,498712482616.0,,,,0.0,0.0,,,
