CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
BCM,2020,3,0.07114081441851071,1599303068036,585599460502,0.19149683711502716,3358639601.0,-146324183033.0,1599303068036.0,-45718505928.0,1553584562108.0,-827656487712.0,725928074396.0,-159185516634.0,363198952415.0,-151942208654.0,-88500929364,692857011760.0,11852717445.0,,-14691461556.0,-2838744111.0,690018267649,-58379810849,-549783470.0,631088673330,45489212828.0,585599460502,,,,,,,,,,,,,,,,,,
BCM,2020,2,0.08060477429065296,2450270520620,288022656883,-0.5077628836814676,21127338536.0,-128114443291.0,2450270520620.0,-23532604617.0,2426737916003.0,-1799479911726.0,627258004277.0,-132556344763.0,132142422209.0,-161394871483.0,-93340421720,393236127056.0,17372898891.0,,-41435449064.0,-24062550173.0,369173576883,-29193192512,-21478256278.0,318502128093,30479471210.0,288022656883,,,,,,,,,,,,,,,,,,
BCM,2020,1,-0.3109219924052952,1323142175979,310677547481,-0.48017575809464874,3783272095.0,-146595918686.0,1323142175979.0,-93779964932.0,1229362211047.0,-664906826826.0,564455384221.0,-146614384329.0,186470740790.0,-164316192105.0,-81769305748,362009514924.0,7969151132.0,,-5589076131.0,2380075001.0,364389589925,-59650329462,27487344526.0,332226604989,21549057508.0,310677547481,,,,,,,,,,,,,,,,,,
BCM,2019,4,0.20690473895955708,3655601294750,855865917841,-0.007391772852804667,61088055863.0,-124177158014.0,3655601294750.0,-131304319709.0,3524296975041.0,-2121218557972.0,1403078417069.0,-140260283191.0,473721981474.0,-271607533433.0,-511871061942,1014149575840.0,41651227189.0,,-21981591924.0,19669635265.0,1033819211105,-109082198186,857197173.0,925594210092,69728292251.0,855865917841,,,,,,,,,,,,,,,,,,
BCM,2019,3,-0.2950744257762439,1493083865826,491482177930,0.2454456095868859,26905877406.0,-147339354832.0,1493083865826.0,-101909948345.0,1391173917481.0,-761908723727.0,629265193754.0,-157865454693.0,330869975808.0,-180278055874.0,-104052938134,544844598267.0,24878121907.0,,-7339415332.0,17538706575.0,562383304842,-42634409972,6398576591.0,526147471461,34665293531.0,491482177930,,,,,,,,,,,,,,,,,,
BCM,2019,2,0.5067815966440136,2267499254969,585129904541,0.2156601270575721,-74812984478.0,-174857000181.0,2267499254969.0,-223001217004.0,2044498037965.0,-1073652622880.0,970845415085.0,-170185534648.0,249979627698.0,-175904551287.0,-88364261606,711557710764.0,19056239915.0,,-6226932528.0,12829307387.0,724387018151,-115787061175,-8741844.0,608591215132,23461310591.0,585129904541,,,,,,,,,,,,,,,,,,
BCM,2019,1,-0.027000037772358543,1920163118538,597658828573,0.30812934104704676,465999431795.0,-180662614107.0,1920163118538.0,-581874758366.0,1338288360172.0,-846450158516.0,491838201656.0,-193250906352.0,182542402104.0,-167942834742.0,-83026432944,696159861517.0,15310441353.0,,-11016167091.0,4294274262.0,700454135779,-87271482109,12697839.0,613195351509,15536522936.0,597658828573,,,,,,,,,,,,,,,,,,
BCM,2018,4,0.0,3028906239859,862239395598,0.0,24127774612.0,-107098989746.0,3028906239859.0,-1626739685094.0,1402166554765.0,-162777733645.0,1239388821120.0,-133407068646.0,397143532705.0,-268821251697.0,-219526451661,1038905356433.0,37202608016.0,,-15013100628.0,22189507388.0,1061094863821,-144680057668,23688060964.0,940102867117,77863471519.0,862239395598,,,,,,,,,,,,,,,,,,
BCM,2018,3,0.0,2118073056819,394623558144,0.0,29018958106.0,-154987546181.0,2118073056819.0,-36941686517.0,2081131370302.0,-1507672598290.0,573458772012.0,-165514905102.0,247537441482.0,-129744749479.0,-98731874432,456023642587.0,17041839148.0,,-29524166253.0,-12482327105.0,443541315482,-25809131555,4132433875.0,421864617802,27241059658.0,394623558144,,,,,,,,,,,,,,,,,,
BCM,2018,2,0.0,1504862589256,481326886946,0.0,34524223243.0,-176587278220.0,1504862589256.0,-386412929307.0,1118449659949.0,-424083500267.0,694366159682.0,-169440758102.0,270936873148.0,-163815645812.0,-97169955075,569400897084.0,403004221703.0,,-391281634269.0,11722587434.0,581123484518,-105339822560,23697273645.0,499480935603,18154048657.0,481326886946,,,,,,,,,,,,,,,,,,
