id,sub_organ_code,organ_name,ownership_percent,symbol
22252951,2400951719,Công ty TNHH Phát Triển Đô Thị Hnb,0.5,VPI
22252952,3502437494,Công ty Cổ Phần Logistics Lsh,0.34,VPI
22252953,3603795545,Công ty Cổ phần Đầu Tư Hà Phú Riverland,0.3,VPI
22252954,BOTHNBG,Công Ty CP Đầu Tư Bot Hà Nội - Bắc Giang,0.33,VPI
22252955,BTHD,Công Ty TNHH Bt Hà Đông,0.517,VPI
22252956,PCPJSC,Công ty CP In Và Văn Hóa Phẩm,0.4677,VPI
22252957,VPIDT,Công ty Cổ Phần Đầu Tư Phát Triển Thương Mại Văn Phú,0.35,VPI
22252958,VPPROPERTY,Công ty Cổ phần Kinh doanh Địa ốc Văn Phú,0.0,VPI
22252919,0308996104,CÔNG TY CỔ PHẦN TẤN LỰC,0.2944,VPH
22252920,ANHUNGIDA,CÔNG TY CỔ PHẦN ĐẦU TƯ TM DV AN HƯNG,0.44,VPH
22252921,THCONS,CÔNG TY CỔ PHẦN XÂY DỰNG THUẬN HƯNG,0.4,VPH
22252922,VHMANA,Công ty Cổ phần Quản lý Việt Hưng,0.4,VPH
22252940,PLC,Tổng Công ty Hóa dầu Petrolimex - Công ty Cổ phần,0.0,VPA
22252941,VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,0.0,VPA
22252892,VOSAL,Công ty Cổ Phần Đại Lý Tàu Biển Và Logistics Vosco,0.36,VOS
22252893,VOSCOTSC,Công ty Cổ phần Thương Mại Và Dịch Vụ Vosco,0.4645,VOS
22252886,GOLDENHOPENB,Công ty TNHH Kido - Nhà Bè,0.49,VOC
22252887,LGVINACOSME,Công Ty TNHH Mỹ Phẩm Lg Vina,0.4,VOC
22252888,TAC,Công ty Cổ phần Dầu Thực vật Tường An,0.2654,VOC
22252674,0313249098,Công ty Cổ phần Dayone,0.2727,VNZ
22252675,0314715626,Công ty CP Công Nghệ Ecotruck,0.2394,VNZ
22252676,0317484078,Công ty Cổ phần Phát Triển Phần Mềm VTH,0.35,VNZ
22252677,F000007884,Telio Pte.ltd,0.1655,VNZ
22252678,F000007978,Funding Asia Group Pte. Ltd.,0.0354,VNZ
22252877,0201641148,Công ty Cổ Phần Cảng Mipec,0.2666,VNT
22252878,TMS,Công ty Cổ phần Transimex,0.0,VNT
22252879,VNF,Công ty Cổ phần Vinafreight,0.0,VNT
22252880,VNL,Công ty Cổ phần Logistics Vinalink,0.0,VNT
22252755,SSVI,Công ty Liên Doanh Bảo Hiểm Samsung Vina,0.25,VNR
22252751,TPCVINA,Công ty TNHH Nhựa Và Hóa Chất TPC Vina,0.15,VNP
22252752,VANDONPLASTIC,Công ty Cổ phần Nhựa Vân Đồn,0.2069,VNP
22252753,VIETTHAIPC,Công ty TNHH Liên Doanh Việt Thái Plastchem,0.2751,VNP
22252731,APIS,Công Ty Cổ Phần Apis,0.2,VNM
22252732,ASIACOCONUT,Công ty CP Chế Biến Dừa Á Châu,0.2496,VNM
22252733,F000001208,Miraka Holding Limited,0.1355,VNM
22252684,12552,Công ty TNHH Vận Tải Việt Nhật,0.0915,VNL
22252685,FREIGHTCONS,CÔNG TY TNHH DỊCH VỤ ĐẠI LÝ VẬN CHUYỂN,0.3,VNL
22252686,LINKCARGO,CÔNG TY TNHH ĐIỀU HÀNH VẬN CHUYỂN HÀNG HÓA LIÊN KẾT,0.3,VNL
22252687,LOGISKT,Công ty Cổ Phần Logistics Kim Thành,0.5652,VNL
22252688,VINALINKTRANS,CÔNG TY CỔ PHẦN VẬN CHUYỂN VINALINK,0.4,VNL
22252682,VINATRANSDN,Công ty Cổ phần Giao nhận Vận tải Miền Trung,0.143,VNL
22252683,VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,0.0,VNL
22252658,BENTRETOUR,Công ty Cổ Phần Du Lịch Bến Tre,0.2006,VNG
22252659,TACUTOUR,CÔNG TY CP DU LỊCH NÚI  TÀ CÚ,0.4012,VNG
22252660,VNGANGKOR,Công ty Cổ Phần Du Lịch Vinagolf Angkor,0.49,VNG
22252624,0201641148,Công ty Cổ Phần Cảng Mipec,0.2133,VNF
22252625,0316114557,Công ty Cổ Phần Logistics Vĩnh Lộc,0.2,VNF
22252626,0900989442,Công ty CP Dịch Vụ Logistics Thăng Long,0.2296,VNF
22252627,VINATRANSDN,Công ty Cổ phần Giao nhận Vận tải Miền Trung,0.2789,VNF
22252628,VNT,Công ty Cổ phần Giao nhận Vận tải Ngoại Thương,0.2487,VNF
22252615,VE2,Công ty Cổ phần Xây dựng Điện VNECO 2,3.5e-05,VNE
22252616,VNECO10,CÔNG TY CỔ PHẦN XÂY DỰNG ĐIỆN VNECO 10,0.4006,VNE
22252604,IPAG,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,0.0,VND
22252582,0107010836,Công ty CP Thẩm Định Giá Vinacontrol,0.35,VNC
22250365,INSAVINA,Công ty Cổ Phần In Sách Việt Nam,0.2776,VNB
22252458,TMS,Công ty Cổ phần Transimex,0.0,VMT
22252459,VNF,Công ty Cổ phần Vinafreight,0.0059,VMT
22252460,VNL,Công ty Cổ phần Logistics Vinalink,0.007327,VMT
22252548,0201234801,Công Ty Cổ Phần Dịch Vụ Hàng Hải Hải Âu,0.3,VMS
22252722,12555,Công ty Cổ Phần Vinalines Hòa Lạc Logistics,0.36,VLG
22252723,CSGC,Công ty Cổ phần Cảng Sài Gòn,0.0,VLG
22252307,ANIMEXHP,Công ty Cổ Phần Đầu Tư Và Xuất Nhập Khẩu Súc Sản Gia Cầm Hải Phòng,0.3,VLC
22252308,MTPLASTIC,Công Ty CP Nhựa Miền Trung,0.4006,VLC
22252309,PETERHAND,Công ty TNHH Phát Triển Chăn Nuôi Peter Hand Hà Nội,0.36,VLC
