id,sub_organ_code,ownership_percent,organ_name,type,symbol
22252402,0105734093,0.2799,Công ty CP Thi Công Cơ Giới Vinaincon,công ty liên kết,VVN
22252403,0107273056,0.207,Công ty Cổ phần Tư Vấn Thiết Kế Và Xây Dựng Vinaincon,công ty liên kết,VVN
22252404,12689,0.2,Công Ty Cổ Phần Bê Tông Ly Tâm Vinaincon,công ty liên kết,VVN
22252405,4600425562,0.25,Công Ty Cổ Phần Khai Thác Đá Vôi Quang Sơn,công ty liên kết,VVN
22252406,CSSC,0.2311,Công ty Cổ phần Kết cấu thép Xây dựng,công ty liên kết,VVN
22252407,HOMEC,0.2737,Công ty Cổ phần Cơ khí Hồng Nam,công ty liên kết,VVN
22252408,ICI,0.36,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,công ty liên kết,VVN
22252269,0315447183,1.0,Công ty TNHH MTV Đầu Tư Và Phát Triển Vietravel,công ty con,VTR
22252270,0316039109,1.0,Công ty TNHH MTV Dịch Vụ Du Lịch Tripu,công ty con,VTR
22252271,0317141987,0.51,Công ty Cổ Phần Truyền Thông & Sự Kiện Đàn Ong Việt,công ty con,VTR
22252272,1702044225,0.51,Công ty Cổ Phần Du Lịch Và Thương Mại Đầu Tư Đảo Ngọc Bích,công ty con,VTR
22252273,2040193,1.0,Công ty TNHH Indochina Heritage Travel,công ty con,VTR
22252274,2040194,0.7,Công ty Vietravel Australia Pty. Ltd,công ty con,VTR
22252275,2040196,1.0,Công ty TNHH An Incentives,công ty con,VTR
22252276,2040197,1.0,Công ty Cổ Phần Tiếp Thị Và Du Lịch Việt Nam - Vietravel,công ty con,VTR
22252277,2040198,1.0,Công ty TNHH Tư Nhân Vận Tải Tiếp Thị Và Du Lịch Việt Nam,công ty con,VTR
22252278,3301712013,1.0,Công ty TNHH MTV Du Lịch Vietravel Huế,công ty con,VTR
22252279,CDIMEX,0.9513,Công Ty Cổ Phần Xuất Nhập Khẩu Và Phát Triển Văn Hóa,công ty con,VTR
22252280,2040199,0.49,Công ty TNHH Tiếp Thị Và Du Lịch Vận Tải Việt Nam,công ty liên kết,VTR
