CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ,Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,Thuế TNDN,Lãi cơ bản trên cổ phiếu
DGW,2021,2,0.7000744368604132,4346197073691,116447079766,1.4036858695338605,38901809831.0,-5914316293.0,4346197073691.0,-128656438708.0,4217540634983.0,-3912418968345.0,305121666638.0,-6495657099.0,-1608700945.0,-163900150194.0,-25006892437,147012075794.0,192252384.0,,-478788382.0,-286535998.0,146725539796,-30153372916,0.0,116572166880,125087114.0,116447079766,,,,,,,,,,,,,,,,,,
DGW,2021,1,1.1483667631241217,5063160650544,106712927138,1.3735965853100227,24899826731.0,-5532572260.0,5063160650544.0,-56363167518.0,5006797483026.0,-4687768893045.0,319028589981.0,-5480357972.0,-978730068.0,-181496853133.0,-20574394780,135398080759.0,130770173.0,,-483344095.0,-352573922.0,135045506837,-28152590135,0.0,106892916702,179989564.0,106712927138,,,,,,,,,,,,,,,,,,
DGW,2020,4,0.5892046080398815,4112257191486,84884618902,0.6938819424702882,21634387426.0,-2354417033.0,4112257191486.0,-95080110104.0,4017177081382.0,-3762649951561.0,254527129821.0,-3188235941.0,-158845576.0,-146566474288.0,-12748857307,113499104135.0,295526155.0,,-341049173.0,-45523018.0,113453581117,-47616952043,19298926092.0,85135555166,250936264.0,84884618902,,,,,,,,,,,,,,,,,,
DGW,2020,3,0.38998197335295376,3654806805407,75073702709,0.44424106042972067,20806711141.0,-6391747055.0,3654806805407.0,-30532521799.0,3624274283608.0,-3392968899988.0,231305383620.0,-12002124713.0,1278310446.0,-124848449483.0,-17601609596,98938221415.0,2494998308.0,,-434778727.0,2060219581.0,100998440996,-25810943376,0.0,75187497620,113794911.0,75073702709,,,,,,,,,,,,,,,,,,
DGW,2020,2,0.2715083895909684,2556474575147,48445215426,0.44785143801734345,27553942584.0,-7787194598.0,2556474575147.0,25501628114.0,2581976203261.0,-2416432847947.0,165543355314.0,-9460548019.0,682914596.0,-111052874370.0,-9684933973,63581856132.0,366879633.0,,-392534225.0,-25654592.0,63556201540,-15219528598,0.0,48336672942,-108542484.0,48445215426,,,,,,,,,,,,,,,,,,
DGW,2020,1,0.7166563771748709,2356748734644,44958325184,0.7963292805830258,14373516472.0,-10484684730.0,2356748734644.0,-46033588263.0,2310715146381.0,-2167451178344.0,143263968037.0,-12636189420.0,1155463131.0,-64100135621.0,-28177778054,53878844545.0,179937595.0,,-298308323.0,-118370728.0,53760473817,-8976581875,0.0,44783891942,-174433242.0,44958325184,,,,,,,,,,,,,,,,,,
DIG,2024,4,0.014092368753515626,449485954727,98254589790,0.4818455433190136,65419143164.0,-12264747728.0,449485954727.0,-17506702451.0,431979252276.0,-290878836150.0,141100416126.0,-12672869121.0,-6336112697.0,-7920370417.0,-56270165954,123320041101.0,5895323645.0,0.0,-13134631267.0,-7239307622.0,116080733479,-33451589770,4091419247.0,86720562956,-11534026834.0,98254589790,,,,,,,,,,,,,,,,,,
DIG,2024,3,-0.7371820998646516,62486011944,7075643850,-0.5836065281135443,24186755740.0,-11274032142.0,62486011944.0,-15205034282.0,47280977662.0,-42945880118.0,4335097544.0,-11464453226.0,12117221362.0,-8797887388.0,-25497456535,-5120722503.0,1697325839.0,0.0,-2522274925.0,-824949086.0,-5945671589,-16738459787,33910825304.0,11226693928,4151050078.0,7075643850,,,,,,,,,,,,,,,,,,
DIG,2024,2,2.9697269779743984,646552961462,125968673767,11.00984438984831,22839156193.0,-11638957928.0,646552961462.0,-11824680368.0,634728281094.0,-475016232484.0,159712048610.0,8088568814.0,3524468988.0,-13112042061.0,-45739289167,135312911377.0,10977849674.0,0.0,-3912022174.0,7065827500.0,142378738877,-26937213524,9699349913.0,125140875266,-827798501.0,125968673767,,,,,,,,,,,,,,,,,,
DIG,2024,1,-0.05716952469982287,186443101527,-117198820353,-2.485520141073181,12017137327.0,-12183891901.0,186443101527.0,-185954525608.0,488575919.0,-51293900345.0,-50805324426.0,-12431866901.0,976471514.0,-13785710046.0,-53404058891,-117433351423.0,1724230696.0,0.0,-5142109661.0,-3417878965.0,-120851230388,-365579292,-21043659.0,-121237853339,-4039032986.0,-117198820353,,,,,,,,,,,,,,,,,,
DIG,2023,4,0.10146546859967562,443239658020,66305554066,13.849947733827898,19228689818.0,-16356460022.0,443239658020.0,-9404223523.0,433835434497.0,-331191318148.0,102644116349.0,-23479647710.0,36115478257.0,-14724170666.0,-50254652099,69529813949.0,54328909943.0,0.0,-47559102751.0,6769807192.0,76299621141,-10470577231,1778135840.0,67607179750,1301625684.0,66305554066,,,,,,,,,,,,,,,,,,
DIG,2023,3,-0.44402538085040333,237754018702,16992686792,18.054449669075503,10778526010.0,-15092977752.0,237754018702.0,-2573622869.0,235180395833.0,-168259915025.0,66920480808.0,-11631993881.0,-360077793.0,-9034316340.0,-37595451030,19077167774.0,2200697201.0,0.0,453147634.0,2653844835.0,21731012609,-9408871108,-220807143.0,12101334358,-4891352434.0,16992686792,,,,,,,,,,,,,,,,,,
DIG,2023,2,-0.7200287821231636,162870888867,10488784840,-0.8776150287827449,28586250864.0,-45328661367.0,162870888867.0,-419557207.0,162451331660.0,-131260538728.0,31190792932.0,-23163263466.0,-463353867.0,-9049523672.0,-32546717659,-5445814868.0,23459074786.0,0.0,-522747325.0,22936327461.0,17490512593,-8201274323,93546004.0,9382784274,-1106000566.0,10488784840,,,,,,,,,,,,,,,,,,
DIG,2023,1,-0.6273816945332064,197748276505,78894130825,0.24422042909736305,170155685724.0,-19961916525.0,197748276505.0,-956679726.0,196791596779.0,-154429174555.0,42362422224.0,-67467979965.0,2880900114.0,-10023463387.0,-31035487740,106872076970.0,2844011358.0,0.0,-8387608472.0,-5543597114.0,101328479856,-24689545044,-62138391.0,76576796421,-2317334404.0,78894130825,,,,,,,,,,,,,,,,,,
DIG,2022,4,-0.5646414448298462,402409036557,4465036191,-0.9945439093220874,22231764567.0,-45757754709.0,402409036557.0,-11547418105.0,390861618452.0,-281089873150.0,109771745302.0,-55783255797.0,3354148079.0,-23451153396.0,-54762698928,1360549827.0,4534515447.0,0.0,-1949346932.0,2585168515.0,3945718342,148869946,-1376024955.0,2718563333,-1746472858.0,4465036191,,,,,,,,,,,,,,,,,,
DIG,2022,3,-0.20620458193279936,427634662650,-996378489,-1.0230338195993176,14875407362.0,-45686292468.0,427634662650.0,-4065384307.0,423569278343.0,-310119486480.0,113449791863.0,-44893532062.0,-104745645.0,-23878774032.0,-43124127785,16324019701.0,4949435011.0,0.0,-11380343190.0,-6430908179.0,9893111522,-1089901817,-9773367319.0,-970157614,26220875.0,-996378489,,,,,,,,,,,,,,,,,,
DIG,2022,2,-0.06310733276695359,581741545085,85703209599,0.6982307978984914,26632271133.0,-118148858526.0,581741545085.0,-6384572774.0,575356972311.0,-333211087935.0,242145884376.0,-126419257245.0,6250967302.0,-14584066309.0,-39860700355,94165098902.0,8568690433.0,0.0,145825962.0,8714516395.0,102879615297,-15185551566,176628962.0,87870692693,2167483094.0,85703209599,,,,,,,,,,,,,,,,,,
