CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,"Chi trả cho việc mua lại, trả cổ phiếu",Thu lãi và cổ tức,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả,Cố tức đã nhận
KDC,2022,4,25025374405.0,65416849262.0,7571552030.0,-19182304179.0,,-213690542013.0,74982806293.0,-59876264202.0,-291770766435.0,-191249507052.0,-513734248233.0,7559737095.0,-52529982216.0,-37620150446.0,0.0,-488763400.0,-1139709944889.0,-89383982104.0,318181818.0,-140807114013.0,201200000000.0,-7757421205.0,299992000000.0,19059466814.0,282621131310.0,0.0,4611124175540.0,-3689881393268.0,,66655614565.0,987898396837.0,130809583258.0,967837622340.0,1446744196.0,1100093949794.0,,,,0.0,,,,
KDC,2022,3,60080425268.0,67999041845.0,-679374741.0,-284227973.0,,-14646102164.0,55355431047.0,167825193282.0,-6811250430.0,-421371121175.0,-122639118863.0,19773347522.0,-74634954250.0,-28659684089.0,0.0,762508400.0,-465755079603.0,-70153258067.0,-2329444059.0,-300000000000.0,0.0,-99488613315.0,58951915000.0,8942644041.0,-404076756400.0,351442000000.0,4326536282133.0,-4040352151258.0,,-172777426395.0,464848704480.0,-404983131523.0,1372703479847.0,117274016.0,967837622340.0,,,,0.0,,,,
KDC,2022,2,273163994574.0,65853264351.0,2205362760.0,7222476595.0,,-56382840257.0,51814717036.0,343876975059.0,49975713446.0,82481120811.0,477257745026.0,-15660333466.0,-26636056900.0,-10619552950.0,0.0,-4846683520.0,895828927506.0,-48071556311.0,2273080423.0,-151952831152.0,140000000000.0,-139588180500.0,41906620166.0,73665467490.0,-81767399884.0,0.0,3707920164506.0,-3917221414253.0,,-154398144150.0,-363699393897.0,450362133725.0,922707253880.0,-365907758.0,1372703479847.0,,,,0.0,,,,
KDC,2022,1,152113715477.0,66358923646.0,-74854343.0,3488871307.0,,-49339376005.0,50973601014.0,223520881096.0,-27823992053.0,810085855031.0,-567548524719.0,-14801341600.0,-72486088554.0,-71068350060.0,0.0,-12391600264.0,267486838877.0,-22405685205.0,56363636.0,-158000000000.0,80000000000.0,0.0,26020000000.0,17893925468.0,-56435396101.0,0.0,3636105490479.0,-4205741842506.0,,-202512835.0,-569838864862.0,-358787422086.0,1281295490335.0,199185631.0,922707253880.0,,,,0.0,,,,
KDC,2021,4,200218873938.0,71502918083.0,1383266780.0,3094600002.0,,73325821753.0,49590880909.0,399116361465.0,-207348225490.0,-941115089864.0,415037501004.0,3139030154.0,-26775163795.0,-29389205778.0,0.0,-1049869109.0,-388384661413.0,-138206895696.0,1280735079.0,-812219178.0,50000000000.0,-1106563965688.0,0.0,-143790679313.0,-1338093024796.0,0.0,5496157966143.0,-4509394397742.0,,-1414983020.0,985371215381.0,-741106470828.0,2022398377964.0,3583199.0,1281295490335.0,,,,22630000.0,,,,
KDC,2021,3,143401555857.0,64746310830.0,3561737136.0,-56079557.0,,-97945238077.0,43978703328.0,157686989517.0,118249252075.0,-178310292051.0,40710047373.0,4048694461.0,-62454761586.0,-13140458727.0,0.0,-2819061739.0,63970409323.0,-17593562172.0,-283966763.0,0.0,105000000000.0,0.0,5000000000.0,153324470519.0,245446941584.0,-500000000.0,3986702418833.0,-3919876163035.0,,-132413391625.0,-65587135827.0,243830215080.0,1778569846735.0,-1683851.0,2022398377964.0,,,,500000000.0,,,,
KDC,2021,2,186456292387.0,66003974272.0,-137671139371.0,690488900.0,,-11899322603.0,45829142673.0,149409436258.0,322155888133.0,-43200216155.0,735236924772.0,-3265042489.0,-24886520652.0,0.0,0.0,-1454186182.0,1133996283685.0,-53684500863.0,1229895655.0,100000000000.0,60000000000.0,-246000000000.0,-300493330290.0,32068967823.0,-406878967675.0,0.0,3193098186480.0,-3290739230131.0,,-169863944625.0,-267504988276.0,459612327734.0,1319708183314.0,-750664313.0,1778569846735.0,,,,0.0,,,,
KDC,2021,1,150216518583.0,64764464395.0,-4151152409.0,464291792.0,,-60522645557.0,41259388380.0,192030865184.0,-408891081062.0,-122774599729.0,-503164700394.0,-10817609102.0,-22134969970.0,-10707265793.0,0.0,-254679763.0,-886714040629.0,-16861186488.0,245282489.0,-505000000000.0,427000000000.0,-47000000000.0,300493330290.0,12374395083.0,171251821374.0,0.0,3996754934030.0,-2854447359874.0,,-209479008000.0,932328566156.0,216866346901.0,1102117058476.0,724777937.0,1319708183314.0,,,,-500000000.0,,,,
KDC,2020,4,80484857602.0,63773401690.0,7375255638.0,711523551.0,,-41428641137.0,30209201908.0,141125599252.0,-52279670212.0,-377677634758.0,245261317744.0,-23688578831.0,-41512929867.0,-84236857789.0,0.0,-7318232054.0,-200326986515.0,-46751520849.0,12857434369.0,-170000000000.0,240000000000.0,-1978629224.0,122140523.0,-2362183978.0,31887240841.0,0.0,3194375057825.0,-2833887358128.0,,-39428999705.0,321058699992.0,152618954318.0,949216334753.0,281769405.0,1102117058476.0,,,,0.0,,,,
KDC,2020,3,153929509894.0,66133269205.0,2744346113.0,-218181488.0,,-44882628728.0,32677073858.0,210383388854.0,29847783438.0,81369999220.0,153863011249.0,-4592605950.0,-23470578535.0,-1592818114.0,0.0,-1393569144.0,444414611018.0,-25383398589.0,4079524915.0,-387000000000.0,100000000000.0,0.0,300752197414.0,15392862640.0,7841186380.0,0.0,1933378078133.0,-2091253364343.0,,-358115051041.0,-515990337251.0,-63734539853.0,1012532542621.0,418331985.0,949216334753.0,,,,0.0,,,,
KDC,2020,2,120076361927.0,64928274697.0,-10137846920.0,4772728957.0,,-59863657540.0,34184896435.0,153960757556.0,55329248839.0,-105109157122.0,73406809613.0,-226787779.0,-44751843015.0,-154588589.0,0.0,-14031570424.0,118422869079.0,-18342948278.0,2649337767.0,0.0,203000000000.0,0.0,493330290.0,134879784408.0,322679504187.0,0.0,2099224803563.0,-1801033978677.0,,-79464969180.0,218725855706.0,659828228972.0,352673161620.0,31152029.0,1012532542621.0,,,,0.0,,,,
KDC,2020,1,63175609976.0,69663565241.0,-1173657102.0,-5901495496.0,,-67384493526.0,31530612805.0,89910141898.0,6524726498.0,99643102775.0,-380337439707.0,-6817089283.0,-19367264368.0,-54574635978.0,0.0,-510255631.0,-265528713796.0,-20612644671.0,2903066581.0,-70000000000.0,30000000000.0,0.0,0.0,9853565252.0,-47856012838.0,0.0,1760075066274.0,-1613842958098.0,,-4739778720.0,141492329456.0,-171892397178.0,524590580422.0,-25021624.0,352673161620.0,,,,0.0,,,,
KDH,2024,4,504783162000.0,5129984000.0,-3169000.0,,,-8340311000.0,0.0,501569666000.0,1082954126000.0,169023921000.0,-653153364000.0,315328417000.0,-164261888000.0,978129000.0,0.0,-10643954000.0,1241795053000.0,-61177170000.0,-290000000.0,-257136762000.0,556000000.0,-600000000000.0,0.0,7708680000.0,-910339252000.0,183600000000.0,265503773000.0,-975746999000.0,0.0,0.0,-531116506000.0,-199660705000.0,3295279279000.0,,3095618574000.0,,,,-4473280000.0,,,,
KDH,2024,3,74004068000.0,2945214000.0,11079000.0,,,-7316936000.0,0.0,69643425000.0,-1470716164000.0,-896103457000.0,185209125000.0,6818216000.0,-216707355000.0,-1105314000.0,0.0,-9196342000.0,-2332157866000.0,-9996230000.0,290000000.0,-263672000.0,-556000000.0,0.0,0.0,8147923000.0,-2377979000.0,3000200024000.0,2142116251000.0,-2074085883000.0,0.0,0.0,3068230392000.0,733694547000.0,2561584732000.0,,3295279279000.0,,,,0.0,,,,
