CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MSB,2021,2,,8.0174185793,0.014704211020602,0.7810713846153846,,,,,,,,,,1.069932328358108,0.2089509905,,0.0208376441,,,0.0,,,,,9.017418579292665,33910500000000.0,1527500000.0,8.9795925788,1.6698217675,3.562214402,44.5712230852,1034.549263502455,13294.8320785597,
MSB,2021,1,,9.511486053466797,0.0163481205827917,0.6838965384615384,,,,,,,,,,0.6329656629688325,0.1616513878107071,,0.0154596390202641,,,0.0,,,,,10.511486217832095,32396000000000.0,1157000000.0,11.9951100118,1.8219130087,4.0578007386,6.062154607,776.7095937770096,15368.4615384615,
MSB,2020,4,,9.4710826824,0.0182965518030148,0.6490315,,,,,,,,,,0.4451870359933935,0.1267327781,,0.0120544875,,,0.0694444444,,,,,10.471082682427586,24991200000000.0,1157000000.0,12.6196831256,1.4809758848,3.4794667023,-4.079874228,590.580812445981,14584.9775280899,
MSB,2020,3,,9.3013840254,0.017515020874477,0.6216093076923077,,,,,,,,,,0.4224502886465683,0.0974240142,,0.0093525264,,,0.0591715976,,,,,10.301384025409977,19553300000000.0,1157000000.0,12.0787360656,1.2098435314,3.2475132482,-5.9175961368,478.1538461538461,13968.7484874676,
MSB,2020,2,,9.5379399127,0.0193038157880007,0.6012721153846153,,,,,,,,,,0.5075852259887266,0.0896716897,,0.0086458605,,,0.0,,,,,10.53793991265314,0.0,1175000000.0,0.0,0.0,0.0,0.0,468.3378723404255,13304.7446808511,
MSB,2020,1,,9.2726337925,0.020826647424968,0.5794573461538461,,,,,,,,,,0.2509711170979262,0.0819530536,,0.0079794483,,,0.0,,,,,10.272633792452105,0.0,1175000000.0,0.0,0.0,0.0,0.0,190.9123404255319,0.0,
MSN,2024,4,2.5611887208,2.6214993578,0.9091437113611524,2.693609851662434,0.5639775597,2.0811184825,7.926612649399782,76.3979157866,42.1765014298,126.50102986579978,4.7776172457,0.1124212283303712,0.311104127734821,0.0304408984574652,0.0703874038,0.0580742095,0.013554404,10306344000000.0,2552134000000.0,,0.9124114888,0.3171040078,0.7286779446,-1.6719681608988322,3.621499357828917,84143569594500.0,1438351617.0,43.5025801421,2.7823384882,1.0116118787,9.1296594702,480.4492808520269,21025.4791961624,14.3924304869
MSN,2024,3,2.4771939148,2.7467292312,1.0549150403288678,2.7218942759967413,0.5366554248,1.8925733505,10.24751015926233,82.9049964534,41.6552812475,134.80778786016234,4.4026297041,0.075072829275705,0.2988151615205454,0.0326278412958224,0.0466613722,0.0424491982,0.008969434,8759566000000.0,1613082000000.0,,0.811109567,0.2784822182,0.5715049789,-0.9447808635666388,3.746729231205511,91622998002900.0,1438351617.0,68.7544896746,3.1053641123,1.1275551343,29.0204689418,487.41280762922105,20512.8924327548,17.7877269265
MSN,2024,2,2.3025345566,2.4079011412,0.9177354033914562,3.05408501547635,0.5360172951,1.8715707476,10.616984715582593,86.1807987812,39.3982651548,136.1960486515826,4.2352821645,0.0648019935636509,0.293912467004225,0.0249611162907494,0.0248165552,0.0375603066,0.0047308284,8360786000000.0,1304749000000.0,,0.9542646837,0.3831825043,0.7087526133,-0.8423050156808619,3.40790114121271,115499634845100.0,1438351617.0,164.483556856,3.4344183943,1.4450798765,47.5575539051,349.411780860813,23380.960262097,21.2646036922
MSN,2024,1,2.8609484344,2.7730939372,1.1075097210544516,2.566777187473816,0.5408437647,1.8330382577,11.123750530759317,89.9993349953,40.752364771,141.87545029705933,4.055585522,0.037307229134838,0.278698829343972,0.0055346891826198,0.0115657175,0.0366174112,0.0021256737,8054965000000.0,703424000000.0,,0.862445419,0.2369412204,0.6041659472,-0.4337042156781746,3.7730939372360863,107588700951600.0,1438351617.0,350.9868536303,3.2462273657,1.372299783,134.0701209032,72.55249604241936,23042.1321659348,22.4524709855
MSN,2023,4,2.9059101047,2.8544483897,1.121572108196823,2.5273667220906053,0.5420470703,1.8109361805,11.767510458779634,91.4633845638,45.0344123473,148.26530736987965,3.9906679787,0.0441438519636299,0.2775409105607181,0.002411230531154,0.0158860709,0.0387606056,0.0029002901,8185311000000.0,917394000000.0,,0.8679354852,0.2837536616,0.6066460211,-0.5496622556791015,3.854448389725608,102877640891400.0,1430843406.0,245.0604891338,3.8734664061,1.3147030337,205.0221725526,35.02130267356455,18562.1849942676,21.1728129684
MSN,2023,3,2.9295694362,2.81035933,1.1168536988536428,2.5165250964106134,0.5452331781,1.8185996102,11.869313568733174,92.8176742698,43.1988781049,147.88586594343317,3.9324407002,0.0674385017130564,0.2946991430525295,0.0024002090607098,0.0308289467,0.0435170291,0.0056932165,8838200000000.0,1359217000000.0,,0.8855597378,0.1979247667,0.6259497055,-0.7791347882885904,3.810359330043444,92718652708800.0,1430843406.0,113.2335017383,3.4618304944,1.1869889768,104.749015754,33.80943001669045,18718.4208192801,18.4593096681
MSN,2023,2,2.8006731797,2.7537901503,1.137028687781356,2.480243662764389,0.5569979067,1.796162012,12.231589474569803,93.0187939987,44.8931787322,150.1435622054698,3.9239382098,0.0533335167614518,0.2862917234707187,0.0056583633737181,0.0500663207,0.0420342869,0.0094203921,8672320000000.0,992460000000.0,,0.7979292886,0.1995077249,0.5561675441,-0.5557033135810405,3.7537901503460303,104594652978600.0,1430843406.0,79.5212972322,3.9367745792,1.3499459294,-39.086397565,73.5887655899083,18568.5003114869,20.1631919692
