Địa phương,Năm,Học sinh dân tộc thiểu số,Trường,Lớp,Học sinh,Giáo viên,Giáo viên nữ,Học sinh nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
Kon Tum,2006,33019,113,2315,52823,2924,2213,23497,595,29326,711
Kon Tum,2007,33422,115,2822,50879,2965,2340,24619,640,26260,625
Kon Tum,2008,32624,123,2737,50107,2609,2117,24369,642,25738,492
Kon Tum,2009,32409,126,3062,50680,2992,2379,24679,594,26001,613
Kon Tum,2010,32696,131,2482,51609,3209,2572,25073,590,26536,637
Kon Tum,2011,31370,131,2484,52130,3171,2492,24977,568,27153,679
Kon Tum,2012,34777,140,2524,53451,3382,2477,32274,546,21177,905
Kon Tum,2013,34557,141,2456,55079,3472,2810,27323,682,27756,662
Kon Tum,2014,35270,143,2587,56425,3529,2842,27463,722,28962,687
Kon Tum,2015,35721,145,2547,57707,3406,2763,28296,683,29411,643
Kon Tum,2016,35922,146,2533,57813,3509,2672,28359,704,29454,837
Kon Tum,2017,36746,147,2603,59512,3457,2814,29135,678,30377,643
Kon Tum,2018,37788,133,2525,62073,3403,2727,30431,665,31642,676
Kon Tum,2019,38397,119,2498,62916,3237,2640,30697,652,32219,597
Kon Tum,2020,39393,99,2487,64013,3360,2738,31140,725,32873,622
Kon Tum,2021,39683,94,2488,65706,3337,2724,31969,746,33737,613
Lai Châu,2004,38091,67,2464,41457,2610,1729,17962,944,23495,881
Lai Châu,2005,40309,84,2625,44412,2886,1760,18659,904,25753,1126
Lai Châu,2006,35991,100,2821,42688,3282,1968,19207,992,23481,1314
Lai Châu,2007,40140,111,2987,42908,3559,2023,19053,1023,23855,1536
Lai Châu,2008,38726,120,2967,41848,3610,2150,19293,1164,22555,1460
Lai Châu,2009,39397,130,2938,42624,3880,2386,19966,1342,22658,1494
Lai Châu,2010,40321,135,3255,43744,4039,2495,20728,1454,23016,1544
Lai Châu,2011,41832,137,3265,45551,4237,2577,21746,1527,23805,1660
Lai Châu,2012,43525,139,3132,47630,4114,2517,22865,1600,24765,1597
Lai Châu,2013,45332,148,3072,50164,4271,2647,24122,1718,26042,1624
Lai Châu,2014,46334,145,2975,51709,4219,2604,24925,1715,26784,1615
Lai Châu,2015,47075,144,2821,53159,4151,2563,25722,1697,27437,1588
Lai Châu,2016,47937,143,2728,54424,4017,2499,26444,1656,27980,1518
Lai Châu,2017,48197,140,2650,55314,3896,2414,26817,1610,28497,1482
Lai Châu,2018,49120,118,2586,57063,3808,2363,27640,1596,29423,1445
Lai Châu,2019,49769,97,2543,58117,3767,2312,28123,1581,29994,1455
Lai Châu,2020,50015,94,2542,58745,3664,2231,28366,1556,30379,1433
Lai Châu,2021,49847,90,2447,59016,3557,2155,28345,1533,30671,1402
Long An,2004,0,243,4689,122756,5357,3879,58891,0,63865,1478
Long An,2005,0,247,4446,117544,5403,3839,56433,0,61111,1564
Long An,2006,0,244,4334,114801,5105,3609,55083,0,59718,1496
Long An,2007,0,239,4167,112182,5128,3586,53859,0,58323,1542
Long An,2008,0,239,4190,109474,5240,3664,55831,0,53643,1576
Long An,2009,0,247,4318,117835,5346,3725,56390,0,61445,1621
Long An,2010,0,247,4292,122003,5616,3896,58524,0,63479,1720
Long An,2011,0,246,4373,122658,5857,4078,59054,0,63604,1779
Long An,2012,0,249,4401,125089,6486,4414,59916,0,65173,2072
Long An,2013,0,253,4464,127098,6404,4465,61392,0,65706,1939
Long An,2014,0,255,4409,127094,6491,4526,61377,0,65717,1965
Long An,2015,0,259,4421,130708,6423,4446,63162,0,67546,1977
Long An,2016,0,261,4319,128327,6355,4374,62011,0,66316,1981
Long An,2017,0,262,4290,130478,6357,4429,63117,0,67361,1928
Long An,2018,785,226,4315,138126,6258,4297,66153,0,71973,1961
Long An,2019,976,190,4342,138772,6028,4165,67017,0,71755,1863
Long An,2020,1126,185,4327,136232,6028,4159,65887,0,70345,1869
Long An,2021,1164,184,4344,138215,5880,4052,67022,0,71193,1828
Lào Cai,2004,54493,199,3988,71565,4166,3197,34118,997,37447,969
Lào Cai,2005,50685,218,3874,66536,4086,3082,31861,986,34675,1004
Lào Cai,2006,49649,226,3861,64426,4150,3144,30854,956,33572,1006
Lào Cai,2007,47852,229,3753,62465,4236,3205,30103,992,32362,1031
Lào Cai,2008,45188,234,3770,60735,3906,3034,28997,1104,31738,872
Lào Cai,2009,44215,236,3897,61298,4760,3515,28631,1117,32667,1245
Lào Cai,2010,45026,237,3871,62551,4915,3415,31901,1039,30650,1500
Lào Cai,2011,46812,240,3908,64674,5183,3668,30989,1388,33685,1515
Lào Cai,2012,49694,239,3932,66447,5480,3845,31318,1737,35129,1635
Lào Cai,2013,50899,241,3989,69102,5323,3706,33131,1744,35971,1617
Lào Cai,2014,51418,238,4270,69964,5498,3925,33544,1917,36420,1573
Lào Cai,2015,53475,231,3935,73271,5758,4128,35233,1983,38038,1630
Lào Cai,2016,54502,223,3889,75072,5605,4016,35957,1910,39115,1589
Lào Cai,2017,55063,212,3808,76537,5644,4070,36656,1969,39881,1574
Lào Cai,2018,56724,199,3714,79481,5524,3936,38005,1931,41476,1588
Lào Cai,2019,58458,186,3597,81991,5251,3802,39070,1893,42921,1449
Lào Cai,2020,59549,182,3539,83549,5116,3699,39614,1910,43935,1417
Lào Cai,2021,60395,182,3500,85348,5058,3666,40451,1876,44897,1392
Lâm Đồng,2004,39466,245,4335,131814,5269,4566,63426,310,68388,703
Lâm Đồng,2005,38273,247,4309,127392,5156,4489,61616,457,65776,667
Lâm Đồng,2006,35972,247,4237,123630,5130,4466,59754,441,63876,664
Lâm Đồng,2007,35319,248,4243,120994,5027,4164,58564,358,62430,863
Lâm Đồng,2008,34362,247,4129,117816,5113,4244,56843,308,60973,869
Lâm Đồng,2009,33107,249,4161,116478,5106,4361,56337,456,60141,745
Lâm Đồng,2010,32892,251,4113,114688,5457,4587,51000,434,63688,870
Lâm Đồng,2011,31195,251,4088,112291,5083,4479,56580,472,55711,604
Lâm Đồng,2012,30866,255,4098,111655,5968,4740,52643,510,59012,1228
Lâm Đồng,2013,30809,254,4586,114423,5596,4872,54941,464,59482,724
Lâm Đồng,2014,31041,254,4179,116722,6104,5254,56206,590,60516,850
Lâm Đồng,2015,31483,253,4234,120253,6204,5335,58054,618,62199,869
Lâm Đồng,2016,32087,254,4224,119685,6326,4168,57561,644,62124,2158
Lâm Đồng,2017,32989,256,4201,122082,6319,5422,58988,656,63094,897
Lâm Đồng,2018,35550,252,4195,127011,6283,5280,61612,657,65399,1003
Lâm Đồng,2019,37046,249,4177,128565,5987,5138,62246,658,66319,849
Lâm Đồng,2020,37985,244,4142,128748,5889,5046,62145,638,66603,843
Lâm Đồng,2021,39314,225,4151,134930,5728,4905,65076,610,69854,823
Lạng Sơn,2004,69227,173,3989,79182,4763,4077,38034,3955,41148,686
Lạng Sơn,2005,61728,177,3800,70738,5836,4753,34151,4689,36587,1083
Lạng Sơn,2006,56026,219,3676,64381,4630,3933,30967,3832,33414,697
Lạng Sơn,2007,50470,220,3669,60552,4716,3997,29250,3909,31302,719
Lạng Sơn,2008,49811,233,3607,57431,4813,4014,27827,3949,29604,799
Lạng Sơn,2009,49057,242,3557,57275,4921,4088,27573,4107,29702,833
Lạng Sơn,2010,49240,245,3639,57583,5027,4144,27774,4193,29809,883
Lạng Sơn,2011,48645,248,3625,56989,4798,3951,27440,4270,29549,847
Lạng Sơn,2012,48388,247,3740,56844,5183,4264,27296,4346,29548,919
Lạng Sơn,2013,48818,247,3565,57607,5182,4243,27894,4457,29713,939
Lạng Sơn,2014,48383,248,3471,57295,5011,4096,27677,4214,29618,915
Lạng Sơn,2015,49445,248,3433,58639,4997,4067,28207,4216,30432,930
Lạng Sơn,2016,51763,247,3387,60952,5029,4036,29176,4268,31776,993
Lạng Sơn,2017,54087,237,3414,63352,4963,4042,30327,4212,33025,921
Lạng Sơn,2018,58483,217,3283,68004,4829,3883,32356,4026,35648,946
Lạng Sơn,2019,62105,197,3263,71597,4572,3724,33911,3840,37686,848
Lạng Sơn,2020,64371,182,3283,73883,4667,3802,34835,3935,39048,865
Lạng Sơn,2021,65093,180,3311,75116,4565,3712,35279,3799,39837,853
Nam Định,2004,0,293,5008,160817,6344,5771,80142,0,80675,573
Nam Định,2005,0,293,4751,151382,6188,5574,74451,0,76931,614
Nam Định,2006,0,292,4662,146425,6248,5524,73944,0,72481,724
Nam Định,2007,0,292,4562,140738,5870,5136,68092,0,72646,734
Nam Định,2008,0,292,4435,137771,5840,5154,66467,0,71304,686
Nam Định,2009,0,291,4409,137242,6053,5268,65755,0,71487,785
Nam Định,2010,0,291,4395,136234,6362,5550,65405,0,70829,812
Nam Định,2011,0,290,4593,132395,6260,5519,63584,0,68811,741
Nam Định,2012,0,291,4484,134651,6502,5749,64600,0,70051,753
Nam Định,2013,0,292,4452,137745,6617,5847,65976,0,71769,770
Nam Định,2014,0,293,4544,139606,6756,5974,66923,0,72683,782
Nam Định,2015,0,293,4595,143563,6633,5871,68951,0,74612,762
Nam Định,2016,0,292,4668,146535,6824,5941,70213,0,76322,883
Nam Định,2017,0,292,4761,149227,6975,6147,71137,0,78090,828
Nam Định,2018,254,260,4854,158207,6907,6028,75527,0,82680,879
Nam Định,2019,276,228,4792,159933,6711,5910,76279,0,83654,801
Nam Định,2020,360,226,4804,164935,6524,5682,78536,0,86399,842
Nam Định,2021,420,226,4836,170608,6490,5680,81095,0,89513,810
Nghệ An,2004,52762,631,11772,311499,16033,13282,143025,1282,168474,2751
Nghệ An,2005,55985,615,11065,281078,15019,13254,141191,1304,139887,1765
Nghệ An,2006,50782,575,10309,254662,14826,13291,126524,1237,128138,1535
Nghệ An,2007,43172,565,9936,241073,14415,13214,121054,1459,120019,1201
Nghệ An,2008,40432,570,9887,229997,14034,12864,112746,1423,117251,1170
Nghệ An,2009,39480,551,9738,225960,13508,11142,110279,1452,115681,2366
Nghệ An,2010,40834,542,9825,230004,14020,11866,110281,1446,119723,2154
Nghệ An,2011,41409,538,9816,232037,13974,11754,110297,1632,121740,2220
Nghệ An,2012,42347,538,9730,231192,14332,13079,111498,1817,119694,1253
Nghệ An,2013,42983,541,9718,237571,14085,11774,113604,1813,123967,2311
Nghệ An,2014,43138,543,9915,240771,13821,11915,115444,1813,125327,1906
Nghệ An,2015,43539,544,9733,248832,13716,11751,119681,1821,129151,1965
Nghệ An,2016,43867,542,9493,248925,13424,10641,119033,1703,129892,2783
Nghệ An,2017,44695,541,9618,261708,13275,11367,125091,1666,136617,1908
Nghệ An,2018,46721,532,9896,285380,13004,11047,136142,1656,149238,1957
Nghệ An,2019,48980,522,10123,303948,12535,10727,144851,1645,159097,1808
Nghệ An,2020,49871,504,10224,313346,12649,10814,148696,1643,164650,1835
Nghệ An,2021,51606,496,10612,338783,12748,10928,161527,1722,177256,1820
Ninh Bình,2004,2300,154,2646,72726,3598,3388,35192,0,37534,210
Ninh Bình,2005,2363,154,2479,66908,3419,3195,32450,0,34458,224
Ninh Bình,2006,1944,154,2369,63884,3103,2922,31870,73,32014,181
Ninh Bình,2007,2040,154,2279,61796,3208,2962,29517,67,32279,246
Ninh Bình,2008,1974,153,2256,61058,3076,2824,29151,46,31907,252
Ninh Bình,2009,1968,153,2282,62310,3224,2939,30072,47,32238,285
Ninh Bình,2010,2042,152,2297,63087,3252,2992,30268,45,32819,260
Ninh Bình,2011,2127,151,2330,63275,3250,2947,28969,54,34306,303
Ninh Bình,2012,2201,150,2321,64976,3415,2922,31622,63,33354,493
Ninh Bình,2013,2388,150,2369,67457,3418,2981,33002,62,34455,437
Ninh Bình,2014,2569,150,2355,67309,3526,3179,32735,71,34574,347
Ninh Bình,2015,2776,150,2405,70461,3568,3217,34195,62,36266,351
Ninh Bình,2016,2965,150,2417,71279,3551,3078,34462,64,36817,473
Ninh Bình,2017,3094,152,2455,73908,3630,3247,35650,75,38258,383
Ninh Bình,2018,3425,152,2532,82587,3655,3244,39580,84,43007,411
Ninh Bình,2019,3589,153,2634,85475,3639,3241,40980,94,44495,398
Ninh Bình,2020,3828,150,2709,89888,3692,3270,43113,97,46775,422
Ninh Bình,2021,4096,146,2770,95961,3661,3241,45981,96,49980,420
Ninh Thuận,2004,17718,136,2432,67610,2703,2269,32847,491,34763,434
Ninh Thuận,2005,17038,137,2365,64146,2716,2274,31120,509,33026,442
Ninh Thuận,2006,16569,138,2312,61002,2661,2240,29615,488,31387,421
Ninh Thuận,2007,16750,140,2287,58789,2726,2281,28461,538,30328,445
Ninh Thuận,2008,16309,141,2279,57103,2739,2297,27665,571,29438,442
Ninh Thuận,2009,16235,146,2200,57355,2818,2341,28142,541,29213,477
Ninh Thuận,2010,16044,146,2269,57579,2845,2308,25900,460,31679,537
Ninh Thuận,2011,16281,147,2254,57166,2720,2268,27748,548,29418,452
Ninh Thuận,2012,15884,149,2292,56905,2834,2223,27711,637,29194,611
Ninh Thuận,2013,15814,152,2382,56852,3016,2442,27699,674,29153,574
Ninh Thuận,2014,15907,152,2224,56470,3052,2474,27302,702,29168,578
Ninh Thuận,2015,16085,152,2172,56556,3076,2490,27491,745,29065,586
Ninh Thuận,2016,15940,153,2145,55041,3136,2439,26619,759,28422,697
Ninh Thuận,2017,16140,152,2133,55611,3139,2551,26994,755,28617,588
Ninh Thuận,2018,16824,147,2131,57997,3094,2451,28217,720,29780,643
Ninh Thuận,2019,17185,142,2148,59278,2903,2351,28909,684,30369,552
Ninh Thuận,2020,17270,135,2142,59950,3036,2464,29233,730,30717,572
Ninh Thuận,2021,18056,133,2208,62757,2830,2339,30497,676,32260,491
Phú Thọ,2004,19427,293,4856,108357,6574,5762,51706,739,56651,812
Phú Thọ,2005,17274,293,4442,98138,6283,5341,47827,701,50311,942
Phú Thọ,2006,16040,295,4262,92458,5899,5198,45139,692,47319,701
Phú Thọ,2007,15953,296,4255,91024,6021,5254,44202,737,46822,767
Phú Thọ,2008,15880,300,4225,90012,6024,5260,44099,744,45913,764
Phú Thọ,2009,16302,300,4240,92205,6132,5356,45294,754,46911,776
Phú Thọ,2010,17285,300,4356,95298,6165,5363,46205,875,49093,802
Phú Thọ,2011,17959,300,4360,96984,5916,5173,46703,894,50281,743
Phú Thọ,2012,18307,300,4351,98933,6073,5075,47046,912,51887,998
Phú Thọ,2013,19758,300,4421,104992,6155,5347,50027,916,54965,808
Phú Thọ,2014,20706,299,4394,108305,6264,5404,51726,939,56579,860
Phú Thọ,2015,22041,299,4490,114463,6427,5495,54605,1003,59858,932
Phú Thọ,2016,23718,299,4470,120492,6465,5178,57312,1010,63180,1287
Phú Thọ,2017,25368,299,4493,126328,6400,5435,60147,1048,66181,965
Phú Thọ,2018,28058,294,4598,137394,6046,5313,65230,1060,72164,733
Phú Thọ,2019,29368,288,4583,140400,6110,5191,66415,1072,73985,919
Phú Thọ,2020,30667,285,4691,145878,6303,5342,68894,1101,76984,961
Phú Thọ,2021,31303,276,4747,149691,6225,5257,70467,1091,79224,968
Phú Yên,2004,5647,154,3880,85495,4630,3485,41068,0,44427,1145
Phú Yên,2005,7087,157,3227,83471,4768,3260,40232,0,43239,1508
Phú Yên,2006,6732,157,3262,81772,4592,3122,39646,105,42126,1470
Phú Yên,2007,6004,159,3228,80872,4623,3120,39168,105,41704,1503
Phú Yên,2008,6208,162,3302,78639,4555,3064,38094,129,40545,1491
Phú Yên,2009,5134,165,3203,79536,4489,2824,38389,129,41147,1665
Phú Yên,2010,6367,163,3275,79191,4540,3002,38527,119,40664,1538
Phú Yên,2011,7466,170,3443,80161,4690,3161,38642,125,41519,1529
Phú Yên,2012,6418,169,3229,76678,4632,3140,37050,131,39628,1492
Phú Yên,2013,6493,169,3212,76274,4357,3139,37088,43,39186,1218
Phú Yên,2014,6586,167,3137,74513,4596,3139,36129,140,38384,1457
Phú Yên,2015,6557,168,3061,74589,4535,3112,36261,143,38328,1423
Phú Yên,2016,6527,169,2954,70884,4492,3059,34411,129,36473,1433
Phú Yên,2017,6503,169,2928,71507,4419,3032,34650,134,36857,1387
Phú Yên,2018,6644,132,2890,74690,4193,2862,36149,130,38541,1331
Phú Yên,2019,6792,94,2925,76350,3985,2693,36987,126,39363,1292
Phú Yên,2020,6949,95,2873,76535,3874,2626,37013,123,39522,1248
Phú Yên,2021,7114,96,2922,80712,3669,2491,39102,122,41610,1178
Quảng Bình,2004,2884,240,3252,92475,3895,3371,44772,0,47703,524
Quảng Bình,2005,3024,234,3085,84629,3751,3242,40823,0,43806,509
Quảng Bình,2006,2802,231,2979,76969,3660,3185,37209,0,39760,475
Quảng Bình,2007,2565,209,2930,74094,3871,3280,35038,0,39056,591
Quảng Bình,2008,3334,209,2903,70529,3804,3332,33182,0,37347,472
Quảng Bình,2009,3317,205,3132,71252,4077,3453,34603,0,36649,624
Quảng Bình,2010,3366,207,3136,71125,4238,3602,34605,0,36520,636
Quảng Bình,2011,3496,210,3110,71616,4218,3581,34817,0,36799,637
Quảng Bình,2012,3477,209,3031,70562,4272,3553,34291,0,36271,719
Quảng Bình,2013,3233,210,3030,71194,4535,3769,34522,0,36672,766
Quảng Bình,2014,3212,208,3026,70722,4526,3784,34199,0,36523,742
Quảng Bình,2015,3250,211,3040,72732,4683,3901,35251,0,37481,782
Quảng Bình,2016,3227,210,2985,71074,4639,3297,34386,0,36688,1342
Quảng Bình,2017,3216,209,3129,73754,4621,3931,35674,0,38080,690
Quảng Bình,2018,3421,201,3041,78986,4373,3834,38135,0,40851,539
Quảng Bình,2019,3570,193,3102,82282,4359,3737,39568,0,42714,622
Quảng Bình,2020,3635,189,3174,84559,4417,3806,40603,0,43956,611
Quảng Bình,2021,3936,188,3349,92088,4519,3903,44308,0,47780,616
Quảng Nam,2004,19334,256,5551,147030,6513,5097,75155,162,71875,1416
Quảng Nam,2005,17444,263,5441,137444,6517,5071,66430,170,71014,1446
Quảng Nam,2006,17444,266,5069,128428,6337,4951,65799,74,62629,1386
Quảng Nam,2007,15406,268,4920,120916,6275,4887,59229,158,61687,1388
Quảng Nam,2008,10952,266,4949,112119,6116,4841,53978,146,58141,1275
Quảng Nam,2009,11323,270,4720,114701,6366,4826,53298,168,61403,1540
Quảng Nam,2010,14526,269,4860,113438,6469,5057,55027,193,58411,1412
Quảng Nam,2011,14634,269,4790,111823,6433,5074,54151,199,57672,1359
Quảng Nam,2012,14629,272,4694,111331,6858,5380,53629,205,57702,1478
Quảng Nam,2013,14974,271,4713,112387,6953,5467,54271,287,58116,1486
Quảng Nam,2014,15789,275,4765,114110,7149,5616,55063,361,59047,1533
Quảng Nam,2015,16067,274,4859,117223,7312,5750,56527,395,60696,1562
Quảng Nam,2016,16205,275,4676,113946,7271,4816,54687,424,59259,2455
Quảng Nam,2017,16585,274,4703,118451,7183,5756,56901,462,61550,1427
Quảng Nam,2018,17003,260,4715,125461,6863,5350,60183,447,65278,1513
Quảng Nam,2019,17247,246,4554,127524,6167,4944,61190,432,66334,1223
Quảng Nam,2020,17767,241,4673,132053,5885,4709,63265,441,68788,1176
Quảng Nam,2021,18278,234,4866,142046,6153,4976,68519,539,73527,1177
Quảng Ngãi,2004,21181,229,4502,129885,5281,4032,62989,260,66896,1249
Quảng Ngãi,2005,20166,235,4251,118484,5089,3940,56489,228,61995,1149
Quảng Ngãi,2006,18616,232,4030,108440,5003,3819,53829,225,54611,1184
Quảng Ngãi,2007,17586,234,3898,101811,4918,3755,49433,230,52378,1163
Quảng Ngãi,2008,17142,230,3841,97129,4863,3756,47026,200,50103,1107
Quảng Ngãi,2009,16560,228,3807,96688,4919,3758,46916,215,49772,1161
Quảng Ngãi,2010,17364,224,3879,96191,4831,3688,46412,230,49779,1143
Quảng Ngãi,2011,16224,222,3864,96052,4850,3791,43773,237,52279,1059
Quảng Ngãi,2012,19165,218,3875,96803,5085,3868,45633,244,51170,1217
Quảng Ngãi,2013,18690,217,3882,97627,5133,3937,46943,251,50684,1196
Quảng Ngãi,2014,19300,216,4048,97736,5301,4089,47228,287,50508,1212
Quảng Ngãi,2015,20387,218,4072,101170,5421,4215,48849,291,52321,1206
Quảng Ngãi,2016,20530,218,3821,97472,5442,3755,46918,296,50554,1687
Quảng Ngãi,2017,20412,217,3820,98288,5350,4209,47506,316,50782,1141
Quảng Ngãi,2018,20614,192,3778,101546,5024,4048,48842,284,52704,976
Quảng Ngãi,2019,19065,166,3529,100440,4787,3887,48228,253,52212,900
Quảng Ngãi,2020,20702,157,3609,101607,4915,3961,48833,286,52774,954
Quảng Ngãi,2021,20620,155,3691,108092,4806,3878,52154,287,55938,928
Quảng Ninh,2004,16009,154,4332,97489,5222,4807,47057,699,50432,415
Quảng Ninh,2005,15074,158,4144,91395,5207,4783,44248,688,47147,424
Quảng Ninh,2006,16678,161,4032,87251,5812,5168,44632,751,42619,644
Quảng Ninh,2007,13488,164,4065,86008,5076,4634,41600,684,44408,442
Quảng Ninh,2008,13325,164,4094,84585,5314,4783,41570,703,43015,531
Quảng Ninh,2009,12662,172,4008,86355,5517,4994,41496,778,44859,532
Quảng Ninh,2010,12825,173,4122,87675,5725,5143,42275,828,45400,582
Quảng Ninh,2011,15788,177,4298,88094,5401,4903,45246,0,42848,498
Quảng Ninh,2012,12506,180,4226,90404,5730,5181,43284,0,47120,549
Quảng Ninh,2013,13314,183,4314,96673,6166,5473,46200,895,50473,693
Quảng Ninh,2014,13516,183,4172,99592,5933,5320,47863,901,51729,613
Quảng Ninh,2015,13859,180,4225,106914,6003,5394,50863,858,56051,609
Quảng Ninh,2016,14385,180,4288,111362,6005,4463,53103,842,58259,1542
Quảng Ninh,2017,15094,180,4275,116355,5876,5275,55524,808,60831,601
Quảng Ninh,2018,14657,174,4419,125182,6634,5238,59914,808,65268,1396
Quảng Ninh,2019,16957,167,4354,128264,5765,5202,61192,807,67072,563
Quảng Ninh,2020,17956,161,4380,132424,5983,5435,63404,838,69020,548
Quảng Ninh,2021,18587,160,4416,135980,5798,5260,65143,794,70837,538
Quảng Trị,2004,9201,152,2671,71450,3426,2775,34247,100,37203,651
Quảng Trị,2005,9385,154,2613,66600,3439,2788,31890,134,34710,651
Quảng Trị,2006,10178,156,2542,61806,3556,2854,29719,166,32087,702
Quảng Trị,2007,10083,159,2521,59367,3658,2882,28431,181,30936,776
Quảng Trị,2008,10175,160,2499,56654,3601,2876,27424,147,29230,725
Quảng Trị,2009,10701,162,2257,56135,3716,2962,26358,136,29777,754
Quảng Trị,2010,11017,162,2508,56350,3733,2948,26774,147,29576,785
Quảng Trị,2011,10507,167,2520,56409,3661,2887,26358,152,30051,774
Quảng Trị,2012,11548,166,2489,56125,3726,2845,26110,156,30015,881
Quảng Trị,2013,11707,160,2534,57260,3772,2953,27351,177,29909,819
Quảng Trị,2014,11405,158,2537,56822,3768,2996,27641,189,29181,772
Quảng Trị,2015,11321,155,2568,57649,3849,3063,28139,173,29510,786
Quảng Trị,2016,11176,155,2535,56332,3782,2972,27343,180,28989,810
Quảng Trị,2017,11001,155,2533,57475,3779,3044,27834,190,29641,735
Quảng Trị,2018,7845,112,2245,46040,3200,2902,20757,181,25283,298
Quảng Trị,2019,9926,70,2502,56679,3411,2761,25971,172,30708,650
Quảng Trị,2020,11545,68,2519,61543,3527,2830,29391,197,32152,697
Quảng Trị,2021,11982,68,2577,65381,3555,2849,31338,212,34043,706
Sóc Trăng,2004,46862,254,5239,133212,6400,2687,63486,1626,69726,3713
Sóc Trăng,2005,42987,270,4928,123517,6523,2720,59363,1255,64154,3803
Sóc Trăng,2006,41092,280,4867,119952,6405,2670,57502,1687,62450,3735
Sóc Trăng,2007,40176,288,4839,118167,6533,2659,56661,1713,61506,3874
Sóc Trăng,2008,35318,291,4791,114639,6373,2687,50866,1677,63773,3686
Sóc Trăng,2009,36574,299,4722,118747,6260,2639,52688,1647,66059,3621
Sóc Trăng,2010,39179,297,4821,122345,6416,2709,59003,1846,63342,3707
Sóc Trăng,2011,40387,300,4857,123400,6519,2816,58781,1852,64619,3703
Sóc Trăng,2012,41449,300,5311,122755,6136,2714,58831,1858,63924,3422
Sóc Trăng,2013,44370,306,4937,123115,5913,3527,59571,369,63544,2386
Sóc Trăng,2014,45254,302,4664,122102,6713,2976,58716,2087,63386,3737
Sóc Trăng,2015,44932,297,4902,120625,6786,3049,58248,2087,62377,3737
Sóc Trăng,2016,44410,292,4286,116604,6688,3001,56301,2096,60303,3687
Sóc Trăng,2017,45374,281,4150,116770,6604,2948,56535,2110,60235,3656
Sóc Trăng,2018,48462,252,4169,76102,6428,2804,58755,2088,17347,3624
Sóc Trăng,2019,48840,222,3990,118405,5947,2659,57444,2066,60961,3288
Sóc Trăng,2020,49559,209,4064,119456,5910,2603,57831,2058,61625,3307
Sóc Trăng,2021,48505,204,4103,117542,5792,2585,57063,2063,60479,3207
Sơn La,2004,113332,192,6359,129328,7234,4674,57090,2990,72238,2560
Sơn La,2005,105571,219,6255,119676,6980,4455,53537,3280,66139,2525
Sơn La,2006,98769,231,6103,113270,6824,4507,49815,2861,63455,2317
Sơn La,2007,94923,245,6059,108181,6868,4538,48815,2963,59366,2330
Sơn La,2008,91841,253,6052,106853,7094,4797,48605,3060,58248,2297
Sơn La,2009,92132,265,6267,106098,6674,4450,48497,2555,57601,2224
Sơn La,2010,96371,268,6567,113228,7088,4651,51564,3275,61664,2437
Sơn La,2011,100599,273,6384,114799,7282,4744,54027,3559,60772,2538
Sơn La,2012,104201,280,6712,118539,7330,4744,56294,3843,62245,2586
Sơn La,2013,107691,282,6444,122814,7322,4712,58262,3811,64552,2610
Sơn La,2014,109373,286,6418,125403,7590,4848,59818,4083,65585,2742
Sơn La,2015,112016,289,6312,128642,7620,4785,61686,4157,66956,2835
Sơn La,2016,113800,289,6148,131506,7482,4643,63255,4131,68251,2839
Sơn La,2017,115713,286,6002,134531,7564,4755,64586,4321,69945,2809
Sơn La,2018,119839,192,5799,139806,7365,4619,67361,4225,72445,2746
Sơn La,2019,123606,97,5820,144225,7164,4483,69155,4129,75070,2681
Sơn La,2020,125704,97,5714,146782,7469,4699,70026,4478,76756,2770
Sơn La,2021,126914,97,5732,148948,7495,4739,70543,4551,78405,2756
TP.Hồ Chí Minh,2004,21563,444,11216,410168,14667,12156,191518,0,218650,2511
TP.Hồ Chí Minh,2005,20279,457,11255,408436,14266,11967,195511,0,212925,2299
TP.Hồ Chí Minh,2006,22566,458,11314,418257,14209,12037,198935,0,219322,2172
TP.Hồ Chí Minh,2007,17924,467,11428,424423,14629,12354,198440,0,225983,2275
TP.Hồ Chí Minh,2008,20459,467,11756,433101,14999,12571,207221,0,225880,2428
TP.Hồ Chí Minh,2009,27453,470,12377,472012,15768,13274,226764,0,245248,2494
TP.Hồ Chí Minh,2010,29414,468,13713,493255,15181,12838,235520,0,257735,2343
TP.Hồ Chí Minh,2011,27393,470,13334,504429,16811,14116,240134,0,264295,2695
TP.Hồ Chí Minh,2012,28815,474,13565,523403,17362,14362,249738,0,273665,3000
TP.Hồ Chí Minh,2013,29701,476,13875,547346,18552,15512,262422,283,284924,3040
TP.Hồ Chí Minh,2014,30555,482,14052,559445,19280,16211,268035,283,291410,3069
TP.Hồ Chí Minh,2015,31429,490,14550,584054,19874,16784,281300,306,302754,3090
TP.Hồ Chí Minh,2016,31371,493,14682,578784,20165,15254,278801,317,299983,4911
TP.Hồ Chí Minh,2017,31903,489,15134,602877,20577,17356,290044,351,312833,3221
TP.Hồ Chí Minh,2018,33719,494,16070,651609,21773,17838,313888,402,337721,3935
TP.Hồ Chí Minh,2019,33534,500,16515,655406,21558,18320,315530,454,339876,3238
TP.Hồ Chí Minh,2020,33516,507,16832,656660,22134,18788,315268,504,341392,3346
TP.Hồ Chí Minh,2021,33369,514,17276,679883,22202,18866,327490,548,352393,3336
