Địa phương,Năm,Trường,Lớp,Học sinh,Học sinh nữ,Học sinh dân tộc thiểu số,Giáo viên,Giáo viên nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
Khánh Hòa,2020,108,2045,77535,38051,5400,3751,2768,68,39484,983
Khánh Hòa,2021,109,1973,72893,35765,5141,3643,2710,65,37128,933
Kiên Giang,2004,113,2981,116225,54194,13994,4682,2565,189,62031,2117
Kiên Giang,2005,117,3006,113933,53433,13952,4973,2729,202,60500,2244
Kiên Giang,2006,120,2976,109476,52179,13660,5067,2986,234,57297,2081
Kiên Giang,2007,124,2814,100869,48783,11667,5208,2915,238,52086,2293
Kiên Giang,2008,124,2770,96008,47247,11430,5368,3097,251,48761,2271
Kiên Giang,2009,130,2715,90857,44475,10950,5387,3074,270,46382,2313
Kiên Giang,2010,129,2625,85708,42539,10461,5366,3101,269,43169,2265
Kiên Giang,2011,128,2626,87915,43505,10542,5347,3068,264,44410,2279
Kiên Giang,2012,124,2648,89493,44539,10697,5423,3028,259,44954,2395
Kiên Giang,2013,121,2721,92321,45945,11058,5358,3012,286,46376,2346
Kiên Giang,2014,122,2750,94883,47514,10752,5276,2995,304,47369,2281
Kiên Giang,2015,122,2748,94270,47104,11030,5322,3005,305,47166,2317
Kiên Giang,2016,124,2774,94705,47115,11428,5329,2980,317,47590,2349
Kiên Giang,2017,123,2791,96630,48051,12148,5295,2998,321,48579,2297
Kiên Giang,2018,121,2718,67062,47215,12316,5348,2952,342,19847,2396
Kiên Giang,2019,119,2624,98490,48384,12775,5155,2905,364,50106,2250
Kiên Giang,2020,110,2627,102830,50694,13538,5092,2860,358,52136,2232
Kiên Giang,2021,104,2614,98936,48698,13244,4930,2787,343,50238,2143
Kon Tum,2004,60,919,31430,15143,0,1923,1246,66,16287,677
Kon Tum,2005,63,986,35146,17053,0,2251,1480,77,18093,771
Kon Tum,2006,76,1294,35311,17413,18602,2151,1401,87,17898,750
Kon Tum,2007,81,1339,36192,18284,19862,2174,1504,69,17908,670
Kon Tum,2008,85,1106,35882,17644,20054,2223,1546,87,18238,677
Kon Tum,2009,87,1079,34760,17647,20551,2411,1645,85,17113,766
Kon Tum,2010,91,1173,34534,17621,20982,2472,1729,90,16913,743
Kon Tum,2011,94,1146,35324,17684,21449,2479,1694,100,17640,785
Kon Tum,2012,100,1144,35386,17933,21546,2598,1659,109,17453,939
Kon Tum,2013,100,1145,35832,18498,21846,2655,1834,185,17334,821
Kon Tum,2014,101,1156,36553,18622,21568,2660,1841,203,17931,819
Kon Tum,2015,104,1168,36765,18628,21743,2593,1790,186,18137,803
Kon Tum,2016,106,1196,37707,19088,22397,2636,1828,200,18619,808
Kon Tum,2017,107,1212,38656,19601,22950,2587,1805,203,19055,782
Kon Tum,2018,95,1199,39078,19929,23201,2491,1788,206,19149,703
Kon Tum,2019,83,1212,40240,20593,23776,2476,1771,208,19647,705
Kon Tum,2020,62,1227,41812,21460,24579,2477,1768,224,20352,709
Kon Tum,2021,57,1249,42121,21470,25066,2408,1718,230,20651,690
Lai Châu,2004,42,671,16308,5856,13194,1113,611,149,10452,502
Lai Châu,2005,65,629,17629,6482,14738,1332,729,187,11147,603
Lai Châu,2006,81,730,20151,7513,17252,1619,876,224,12638,743
Lai Châu,2007,86,803,21243,8217,18393,1791,948,235,13026,843
Lai Châu,2008,97,862,23132,9096,20629,1856,977,354,14036,879
Lai Châu,2009,105,929,24830,9927,21683,1869,1026,429,14903,843
Lai Châu,2010,109,967,25532,10363,23348,1948,1048,436,15169,900
Lai Châu,2011,109,983,26395,11038,24115,2094,1148,467,15357,946
Lai Châu,2012,112,1023,27284,11870,24939,2040,1142,498,15414,898
Lai Châu,2013,122,1021,27976,12482,25488,2212,1264,582,15494,948
Lai Châu,2014,116,1025,29627,13471,26838,2205,1275,551,16156,930
Lai Châu,2015,113,1039,31594,14554,28711,2118,1212,568,17040,906
Lai Châu,2016,113,1078,33012,15339,29839,2104,1232,573,17673,872
Lai Châu,2017,113,1099,35302,16575,31770,2051,1217,549,18727,834
Lai Châu,2018,103,1091,36890,17382,32935,2076,1221,556,19508,855
Lai Châu,2019,93,1098,38164,18046,33651,2084,1225,563,20118,859
Lai Châu,2020,91,1118,39615,18913,34774,2029,1180,550,20702,849
Lai Châu,2021,88,1123,40387,19407,35239,1979,1150,546,20980,829
Long An,2004,104,2562,99601,48649,0,4376,3067,0,50952,1309
Long An,2005,108,2451,94971,45976,0,4367,3082,0,48995,1285
Long An,2006,115,2432,92097,45112,0,4275,3058,0,46985,1217
Long An,2007,114,2321,87593,43280,0,4473,3175,0,44313,1298
Long An,2008,115,2292,84814,43255,0,4579,3250,0,41559,1329
Long An,2009,122,2231,81524,40260,0,4812,3372,0,41264,1440
Long An,2010,122,2231,80853,39640,0,4754,3326,0,41213,1428
Long An,2011,122,2253,81192,39398,0,4775,3355,0,41794,1420
Long An,2012,122,2252,80185,39288,0,5077,3526,0,40897,1551
Long An,2013,122,2323,83689,40859,0,4984,3438,0,42830,1546
Long An,2014,126,2377,89037,43530,0,4957,3411,0,45507,1546
Long An,2015,132,2417,90578,44355,0,4856,3321,0,46223,1535
Long An,2016,132,2421,92744,45392,0,4789,3280,0,47352,1509
Long An,2017,133,2439,94257,46355,0,4731,3232,0,47902,1499
Long An,2018,124,2389,100064,45675,262,4626,3134,0,54389,1492
Long An,2019,114,2426,95127,46750,290,4493,3035,0,48377,1458
Long An,2020,110,2521,100343,49225,345,4326,2908,0,51118,1418
Long An,2021,112,2502,97869,47977,333,4245,2836,0,49892,1409
Lào Cai,2004,158,1928,56558,24714,37716,3028,2106,360,31844,922
Lào Cai,2005,178,1933,55528,24929,38629,3137,2119,383,30599,1018
Lào Cai,2006,186,1857,53423,24616,37217,3411,2300,447,28807,1111
Lào Cai,2007,186,1692,50149,23240,35128,3307,2191,432,26909,1116
Lào Cai,2008,187,1625,47935,22103,33741,3398,2277,529,25832,1121
Lào Cai,2009,187,1577,45997,21332,32822,3483,2473,596,24665,1010
Lào Cai,2010,188,1504,44074,20484,32515,3565,2253,430,23590,1312
Lào Cai,2011,191,1537,44228,20780,32289,3558,2357,604,23448,1201
Lào Cai,2012,189,1510,43637,20380,32263,3521,2264,778,23257,1257
Lào Cai,2013,190,1518,43875,20669,32325,3471,2191,808,23206,1280
Lào Cai,2014,184,1620,44900,21166,32481,3503,2322,788,23734,1181
Lào Cai,2015,178,1573,46341,21809,33726,3508,2294,818,24532,1214
Lào Cai,2016,168,1599,47888,22532,34864,3374,2213,772,25356,1161
Lào Cai,2017,163,1653,50046,23654,36373,3353,2204,812,26392,1149
Lào Cai,2018,156,1627,51347,24324,36959,3278,2106,775,27023,1172
Lào Cai,2019,150,1636,53821,25569,38692,3061,2009,738,28252,1052
Lào Cai,2020,147,1688,56566,26768,40467,3085,1999,790,29798,1086
Lào Cai,2021,145,1716,58121,27721,41589,3114,2039,836,30400,1075
Lâm Đồng,2004,97,2442,98664,47598,19268,4348,2929,86,51066,1419
Lâm Đồng,2005,125,2511,99203,49095,21610,4477,3009,97,50108,1468
Lâm Đồng,2006,108,2488,97342,47457,24534,4578,3085,98,49885,1493
Lâm Đồng,2007,109,2573,96045,51154,21673,4733,2857,119,44891,1876
Lâm Đồng,2008,114,2586,95415,48289,21192,4873,2980,165,47126,1893
Lâm Đồng,2009,122,2547,90702,45983,22350,4885,3310,192,44719,1575
Lâm Đồng,2010,145,2674,87717,44147,22130,4970,3432,218,43570,1538
Lâm Đồng,2011,133,2516,87368,42724,21759,4741,3269,225,44644,1472
Lâm Đồng,2012,137,2521,85496,41608,20997,5276,3253,232,43888,2023
Lâm Đồng,2013,140,2554,85901,42862,21619,4757,3370,218,43039,1387
Lâm Đồng,2014,141,2553,84660,42345,20373,4973,3500,263,42315,1473
Lâm Đồng,2015,142,2513,81898,40280,20023,4962,3476,273,41618,1486
Lâm Đồng,2016,143,2499,81316,40596,19904,4937,3451,286,40720,1486
Lâm Đồng,2017,145,2502,81960,40837,20083,4868,3340,301,41123,1528
Lâm Đồng,2018,144,2488,84668,41790,20491,4581,3306,306,42878,1275
Lâm Đồng,2019,143,2495,88191,43567,21280,4667,3273,312,44624,1394
Lâm Đồng,2020,140,2540,92066,45238,22597,4706,3314,312,46828,1392
Lâm Đồng,2021,135,2501,90926,44668,23372,4608,3267,322,46258,1341
Lạng Sơn,2004,115,2216,72900,35887,62080,4434,3315,3163,37013,1119
Lạng Sơn,2005,131,2214,71259,35218,60979,4385,3232,3172,36041,1153
Lạng Sơn,2006,174,2199,67372,33372,57993,4425,3222,3196,34000,1203
Lạng Sơn,2007,179,2089,61874,30922,53398,4558,3357,3282,30952,1201
Lạng Sơn,2008,181,2073,56464,28299,49110,4518,3283,3282,28165,1235
Lạng Sơn,2009,202,1955,51946,25923,45158,4472,3209,3196,26023,1263
Lạng Sơn,2010,202,1847,46760,23081,40716,4355,3132,3179,23679,1223
Lạng Sơn,2011,204,1806,45308,22313,39347,4213,3033,3156,22995,1180
Lạng Sơn,2012,203,1801,43836,21524,38125,4027,2903,3133,22312,1124
Lạng Sơn,2013,204,1745,42787,20914,37120,4125,2958,3083,21873,1167
Lạng Sơn,2014,207,1741,43736,21264,37772,3965,2842,2964,22472,1123
Lạng Sơn,2015,207,1685,43831,21373,37839,3899,2780,2929,22458,1119
Lạng Sơn,2016,206,1657,43842,21455,37634,3822,2720,2789,22387,1102
Lạng Sơn,2017,198,1631,44403,21613,38043,3713,2640,2759,22790,1073
Lạng Sơn,2018,182,1604,44521,21719,37896,3456,2454,2564,22802,1002
Lạng Sơn,2019,167,1577,44567,21684,37730,3223,2268,2370,22883,955
Lạng Sơn,2020,149,1581,46398,22426,39334,3186,2236,2354,23972,950
Lạng Sơn,2021,145,1602,48991,23468,41701,3186,2214,2325,25523,972
Nam Định,2004,245,4829,163307,80428,0,7178,5292,0,82879,1886
Nam Định,2005,245,3656,154427,75232,0,7257,5304,0,79195,1953
Nam Định,2006,245,3555,145382,71237,0,7260,5114,0,74145,2146
Nam Định,2007,245,3355,138085,66505,0,7012,5157,0,71580,1855
Nam Định,2008,245,3271,126086,62054,0,7071,5097,0,64032,1974
Nam Định,2009,245,3175,118782,58936,0,7451,5493,0,59846,1958
Nam Định,2010,245,3092,113928,54343,0,6766,5039,0,59585,1727
Nam Định,2011,246,3006,109527,53314,0,6782,5032,0,56213,1750
Nam Định,2012,246,3128,106138,51881,0,6793,5078,0,54257,1715
Nam Định,2013,246,2944,104147,50830,0,6657,4937,0,53317,1720
Nam Định,2014,242,2967,104534,50993,0,6539,4879,0,53541,1660
Nam Định,2015,242,2934,101371,49833,0,6308,4696,0,51538,1612
Nam Định,2016,237,2920,101395,49667,0,6278,4666,0,51728,1612
Nam Định,2017,237,2928,103183,50479,0,6232,4635,0,52704,1597
Nam Định,2018,233,2899,104384,50959,124,5954,4478,0,53425,1476
Nam Định,2019,229,2940,109221,52991,150,5793,4322,0,56230,1471
Nam Định,2020,226,2971,114552,55210,231,5717,4266,0,59342,1451
Nam Định,2021,226,2994,115975,55531,267,5630,4229,0,60444,1401
Nghệ An,2004,443,7750,317216,150164,40030,14484,8428,753,167052,6056
Nghệ An,2005,440,7668,304974,148168,42872,14225,9308,652,156806,4917
Nghệ An,2006,436,7544,293087,142365,41562,14474,9443,647,150722,5031
Nghệ An,2007,438,7199,265597,131426,34595,14266,9295,616,134171,4971
Nghệ An,2008,427,6727,237991,115657,34823,13854,9075,737,122334,4779
Nghệ An,2009,405,6305,217730,106474,32688,13644,8926,742,111256,4718
Nghệ An,2010,398,5907,195292,94577,29886,13685,8919,767,100715,4766
Nghệ An,2011,386,5694,184044,88598,29046,13252,8283,842,95446,4969
Nghệ An,2012,388,5573,177208,85400,28312,13262,8700,918,91808,4562
Nghệ An,2013,389,5487,170485,82364,27934,12843,8884,905,88121,3959
Nghệ An,2014,388,5547,170963,82844,28190,12495,8352,899,88119,4143
Nghệ An,2015,393,5487,173491,84426,29182,12182,8022,888,89065,4160
Nghệ An,2016,390,5444,175171,85085,29453,11837,7828,891,90086,4009
Nghệ An,2017,391,5234,178684,86256,30159,11454,7624,866,92428,3830
Nghệ An,2018,384,5061,182557,88265,31155,10781,7280,852,94292,3501
Nghệ An,2019,377,5059,184934,89130,31387,10293,6937,839,95804,3356
Nghệ An,2020,372,5167,194188,93468,32623,10167,6906,841,100720,3261
Nghệ An,2021,370,5220,197051,94375,33290,9940,6778,820,102676,3162
Ninh Bình,2004,143,2116,87159,42180,2568,3788,2920,0,44979,868
Ninh Bình,2005,143,2011,79841,38448,2689,3685,3062,0,41393,623
Ninh Bình,2006,143,1879,72676,34601,2272,3705,2867,19,38075,838
Ninh Bình,2007,144,1768,65644,32038,2048,3518,2696,20,33606,822
Ninh Bình,2008,144,1630,57411,26593,2090,3345,2292,18,30818,1053
Ninh Bình,2009,143,1532,52780,25622,1731,3421,2667,29,27158,754
Ninh Bình,2010,143,1470,49055,23702,1518,3346,2624,34,25353,722
Ninh Bình,2011,143,1445,48241,22356,772,3304,2450,34,25885,854
Ninh Bình,2012,142,1444,47543,22748,1594,3324,2570,35,24795,754
Ninh Bình,2013,142,1445,47234,23076,1559,3304,2457,43,24158,847
Ninh Bình,2014,142,1476,48893,23797,1601,3352,2625,55,25096,727
Ninh Bình,2015,142,1483,48613,23534,1661,3345,2614,58,25079,731
Ninh Bình,2016,142,1495,49735,24241,1683,3329,2612,52,25494,717
Ninh Bình,2017,142,1507,51474,25058,1864,3240,2545,55,26416,695
Ninh Bình,2018,142,1503,52523,25755,2028,3211,2514,60,26768,697
Ninh Bình,2019,142,1525,54233,26461,2212,3149,2484,65,27772,665
Ninh Bình,2020,139,1571,56641,27449,2338,3163,2493,65,29192,670
Ninh Bình,2021,134,1571,57346,27651,2443,2963,2337,67,29695,626
Ninh Thuận,2004,44,1124,45540,27776,8078,1808,1099,209,17764,709
Ninh Thuận,2005,45,1140,45650,24094,8488,1879,1190,272,21556,689
Ninh Thuận,2006,51,1149,46105,23407,8994,2045,1318,316,22698,727
Ninh Thuận,2007,51,1113,42625,22034,8910,2018,1261,310,20591,757
Ninh Thuận,2008,55,1092,41181,20343,9215,2098,1329,336,20838,769
Ninh Thuận,2009,59,1098,38260,19812,8575,2077,1334,335,18448,743
Ninh Thuận,2010,60,1096,36575,16081,7631,2237,1495,324,20494,742
Ninh Thuận,2011,63,1104,37084,18948,9112,2082,1333,336,18136,749
Ninh Thuận,2012,63,1113,36389,18907,9124,2023,1287,347,17482,736
Ninh Thuận,2013,63,1120,36650,18930,9327,2172,1398,379,17720,774
Ninh Thuận,2014,64,1129,37242,19299,9421,2203,1410,373,17943,793
Ninh Thuận,2015,64,1104,37091,19048,9342,2166,1386,398,18043,780
Ninh Thuận,2016,64,1101,37272,19287,9464,2163,1389,395,17985,774
Ninh Thuận,2017,64,1092,37514,19259,9513,2163,1397,401,18255,766
Ninh Thuận,2018,61,1023,34942,17830,8795,1876,1325,384,17112,551
Ninh Thuận,2019,58,1041,37097,18815,9558,1942,1253,366,18282,689
Ninh Thuận,2020,53,1047,38632,19517,10050,1931,1259,382,19115,672
Ninh Thuận,2021,50,1037,37983,19201,10068,1886,1247,381,18782,639
Phú Thọ,2004,247,3216,118799,56052,20917,6130,4335,437,62747,1795
Phú Thọ,2005,249,3103,110336,52751,18373,6149,4338,396,57585,1811
Phú Thọ,2006,249,3005,102840,49861,16582,5857,4154,376,52979,1703
Phú Thọ,2007,250,2901,94031,45144,15743,6050,4234,501,48887,1816
Phú Thọ,2008,250,2730,84131,40657,14168,6071,3961,493,43474,2110
Phú Thọ,2009,252,2619,78002,38227,13498,6029,3995,517,39775,2034
Phú Thọ,2010,252,2470,70783,34365,12321,5972,4308,492,36418,1664
Phú Thọ,2011,251,2440,70117,33934,12211,5796,4147,499,36183,1649
Phú Thọ,2012,253,2423,69779,33830,12348,5824,4138,506,35949,1686
Phú Thọ,2013,253,2421,69633,34048,12661,5837,4139,552,35585,1698
Phú Thọ,2014,253,2450,73330,35320,13227,5837,4402,583,38010,1435
Phú Thọ,2015,254,2475,74768,36300,13966,5898,4189,630,38468,1709
Phú Thọ,2016,254,2488,76546,37086,14452,5874,4153,638,39460,1721
Phú Thọ,2017,254,2502,79180,38083,14831,5706,4070,610,41097,1636
Phú Thọ,2018,251,2512,82688,39497,15906,5195,3849,604,43191,1346
Phú Thọ,2019,248,2522,86425,41195,16599,4993,3628,598,45230,1365
Phú Thọ,2020,248,2635,92844,44217,17741,5019,3667,576,48627,1352
Phú Thọ,2021,243,2735,98138,46848,19521,5099,3715,583,51290,1384
Phú Yên,2004,90,3169,69915,31414,2897,3624,2182,0,38501,1442
Phú Yên,2005,92,1901,73108,35161,3324,3935,2366,0,37947,1569
Phú Yên,2006,92,1898,70107,34247,3510,4128,2514,21,35860,1614
Phú Yên,2007,99,1883,65856,32744,3279,4005,2388,19,33112,1617
Phú Yên,2008,93,1827,64185,31628,4054,4120,2462,23,32557,1658
Phú Yên,2009,96,1758,59279,29217,3042,3986,2366,21,30062,1620
Phú Yên,2010,96,1715,57156,28287,2993,4025,2401,27,28869,1624
Phú Yên,2011,99,1886,63403,31418,3160,4302,2603,28,31985,1699
Phú Yên,2012,100,1840,58001,28622,3517,4122,2527,30,29379,1595
Phú Yên,2013,101,1749,59019,29132,3695,4178,2563,32,29887,1615
Phú Yên,2014,101,1763,59180,29295,3945,4091,2507,31,29885,1584
Phú Yên,2015,101,1747,58290,28726,4053,4013,2455,33,29564,1558
Phú Yên,2016,102,1728,57298,28301,4103,4029,2470,31,28997,1559
Phú Yên,2017,104,1724,57079,28433,4089,3924,2393,33,28646,1531
Phú Yên,2018,84,1682,56218,27974,4131,3694,2298,32,28244,1396
Phú Yên,2019,65,1634,55504,27505,4204,3580,2203,31,27999,1377
Phú Yên,2020,65,1628,56194,27734,4316,3424,2096,29,28460,1328
Phú Yên,2021,65,1575,53473,26255,4371,3297,2028,29,27218,1269
Quảng Bình,2004,144,2216,88291,42359,921,4011,2635,0,45932,1376
Quảng Bình,2005,144,2222,86288,41858,897,4081,2676,0,44430,1405
Quảng Bình,2006,144,2174,82948,40072,1182,4164,2579,0,42876,1585
Quảng Bình,2007,146,2099,76234,34816,1101,4134,2728,0,41418,1406
Quảng Bình,2008,147,1994,70100,33896,1361,3953,2570,0,36204,1383
Quảng Bình,2009,148,1944,64528,30829,1389,3857,2506,0,33699,1351
Quảng Bình,2010,148,1817,58538,28645,1672,3679,2362,0,29893,1317
Quảng Bình,2011,148,1929,55822,27066,1727,3598,2320,0,28756,1278
Quảng Bình,2012,148,1742,53854,26258,1855,3657,2337,0,27596,1320
Quảng Bình,2013,148,1727,52814,25839,2130,3544,2271,0,26975,1273
Quảng Bình,2014,148,1771,54363,26740,2363,3558,2291,0,27623,1267
Quảng Bình,2015,148,1770,54576,26719,2396,3600,2348,0,27857,1252
Quảng Bình,2016,148,1718,54195,26556,2391,3431,2269,0,27639,1162
Quảng Bình,2017,147,1676,54647,26613,2357,3367,2261,0,28034,1106
Quảng Bình,2018,142,1615,53873,26284,2395,2977,2184,0,27589,793
Quảng Bình,2019,138,1606,54725,26694,2463,3018,2106,0,28031,912
Quảng Bình,2020,137,1659,57346,28008,2529,2944,2089,0,29338,855
Quảng Bình,2021,137,1636,56036,27234,2596,2927,2079,0,28802,848
Quảng Nam,2004,176,3399,139107,66207,10870,5465,3296,21,72900,2169
Quảng Nam,2005,184,3471,136560,64563,12504,5911,3605,2,71997,2306
Quảng Nam,2006,189,3351,131465,63432,13591,5998,3721,10,68033,2277
Quảng Nam,2007,192,3221,122756,59889,11595,6046,3774,13,62867,2272
Quảng Nam,2008,194,3093,112938,55275,9749,5936,3732,51,57663,2204
Quảng Nam,2009,193,2938,108451,50730,9976,6076,3984,108,57721,2092
Quảng Nam,2010,191,2833,100535,48053,11772,6028,3805,102,52482,2223
Quảng Nam,2011,193,2729,96061,46653,11424,5942,3757,114,49408,2185
Quảng Nam,2012,193,2654,91269,44417,10718,6039,3775,125,46852,2264
Quảng Nam,2013,190,2699,89284,43535,10477,5916,3739,145,45749,2177
Quảng Nam,2014,195,2638,88431,43116,10381,6026,3823,185,45315,2203
Quảng Nam,2015,195,2599,86768,42355,10443,6034,3847,207,44413,2187
Quảng Nam,2016,198,2606,86792,42328,10842,5964,3818,216,44464,2146
Quảng Nam,2017,197,2579,86862,42344,11014,5743,3704,218,44518,2039
Quảng Nam,2018,192,2533,87087,42634,11166,5195,3515,215,44453,1680
Quảng Nam,2019,188,2425,89053,43342,11562,5112,3326,212,45711,1786
Quảng Nam,2020,185,2482,90974,44093,11773,4829,3183,213,46881,1646
Quảng Nam,2021,179,2467,90077,43496,12118,4829,3212,265,46581,1617
Quảng Ngãi,2004,134,2890,118229,56027,10974,4669,2708,44,62202,1961
Quảng Ngãi,2005,140,2929,117423,57137,11671,4854,2873,45,60286,1981
Quảng Ngãi,2006,145,2851,113117,56026,12034,4917,3079,55,57091,1838
Quảng Ngãi,2007,153,2765,105875,52645,12071,5019,2971,69,53230,2048
Quảng Ngãi,2008,165,2626,98302,47215,11945,5040,3031,78,51087,2009
Quảng Ngãi,2009,165,2498,89671,43997,11833,5163,3232,96,45674,1931
Quảng Ngãi,2010,165,2355,81498,38877,11983,5191,3170,106,42621,2021
Quảng Ngãi,2011,166,2273,76645,37202,10858,5090,3108,118,39443,1982
Quảng Ngãi,2012,166,2239,73277,35251,11695,5277,3206,131,38026,2071
Quảng Ngãi,2013,161,2199,70678,34012,10695,5063,3069,109,36666,1994
Quảng Ngãi,2014,166,2594,70603,34230,12229,5100,3139,124,36373,1961
Quảng Ngãi,2015,168,3022,71791,35327,12851,5146,3209,128,36464,1937
Quảng Ngãi,2016,168,2240,72404,35335,13597,5077,3198,121,37069,1879
Quảng Ngãi,2017,168,2986,73698,36304,14078,4900,3105,126,37394,1795
Quảng Ngãi,2018,157,2222,73930,36097,14254,4396,2984,125,37833,1412
Quảng Ngãi,2019,146,2224,75586,36826,14553,4400,2863,124,38760,1537
Quảng Ngãi,2020,133,2270,77928,37923,14944,4306,2833,138,40005,1473
Quảng Ngãi,2021,130,2200,74792,36351,15051,4188,2793,142,38441,1395
Quảng Ninh,2004,127,2359,86928,42417,10260,4625,4091,149,44511,534
Quảng Ninh,2005,135,2369,85433,41337,10088,4952,4133,150,44096,819
Quảng Ninh,2006,137,2304,83616,37906,9884,4893,3980,168,45710,913
Quảng Ninh,2007,139,2304,79415,38895,10782,4868,4006,179,40520,862
Quảng Ninh,2008,139,2181,73748,35931,10648,4813,3959,217,37817,854
Quảng Ninh,2009,140,2161,70360,34508,10305,4743,3885,226,35852,858
Quảng Ninh,2010,143,2073,66774,32381,9984,4667,3814,239,34393,853
Quảng Ninh,2011,146,2441,66089,32195,9831,4527,3717,244,33894,810
Quảng Ninh,2012,149,2104,65712,32160,9688,4522,3711,249,33552,811
Quảng Ninh,2013,153,2139,65642,31764,9639,4617,3753,277,33878,864
Quảng Ninh,2014,151,2094,64609,30913,8758,4151,3422,234,33696,729
Quảng Ninh,2015,150,2127,68223,33023,9715,4161,3392,266,35200,769
Quảng Ninh,2016,150,2074,69320,33376,9777,4122,3362,278,35944,760
Quảng Ninh,2017,148,2103,72758,34885,10059,4028,3295,280,37873,733
Quảng Ninh,2018,144,2127,75923,36219,10022,4594,3259,280,39704,1335
Quảng Ninh,2019,141,2212,81483,38736,10630,3909,3223,279,42747,686
Quảng Ninh,2020,135,2309,87382,41777,11127,4001,3323,316,45605,678
Quảng Ninh,2021,133,2347,89859,43064,11668,3890,3225,311,46795,665
Quảng Trị,2004,94,1583,61542,29394,3507,3045,1735,26,32148,1310
Quảng Trị,2005,98,1619,61753,29715,3889,3319,1840,49,32038,1479
Quảng Trị,2006,102,1639,61177,29389,4374,3434,1911,64,31788,1523
Quảng Trị,2007,106,1595,57259,28521,4675,3427,1951,70,28738,1476
Quảng Trị,2008,108,1554,53849,26162,5176,3300,1884,86,27687,1416
Quảng Trị,2009,111,1516,51187,24255,6444,3383,1949,89,26932,1434
Quảng Trị,2010,111,1464,46610,22435,6033,3273,1857,83,24175,1416
Quảng Trị,2011,116,1399,45011,21552,6265,3189,1782,92,23459,1407
Quảng Trị,2012,115,1347,43096,20437,6607,3198,1818,102,22659,1380
Quảng Trị,2013,114,1314,42036,20422,7059,3112,1704,110,21614,1408
Quảng Trị,2014,113,1309,42534,20707,7585,2944,1676,110,21827,1268
Quảng Trị,2015,112,1319,42349,20646,7764,2973,1709,113,21703,1264
Quảng Trị,2016,112,1301,42519,20763,7864,2878,1705,111,21756,1173
Quảng Trị,2017,112,1297,42674,20851,7968,2758,1661,113,21823,1097
Quảng Trị,2018,80,1205,36927,16641,3803,2624,1590,116,20286,1034
Quảng Trị,2019,49,1224,40209,19110,7383,2533,1519,120,21099,1014
Quảng Trị,2020,43,1286,44757,21630,8064,2558,1563,119,23127,995
Quảng Trị,2021,42,1264,43903,21351,8215,2571,1581,121,22552,990
Sóc Trăng,2004,90,2080,79524,37855,21679,3585,1719,398,41669,1866
Sóc Trăng,2005,94,2039,76537,36451,20924,3667,1764,385,40086,1903
Sóc Trăng,2006,95,1929,71766,34455,19567,3706,1806,480,37311,1900
Sóc Trăng,2007,98,1855,66881,29019,18057,3766,1781,565,37862,1985
Sóc Trăng,2008,100,1822,64216,32631,16932,4091,1980,594,31585,2111
Sóc Trăng,2009,102,1816,61952,31478,16336,4082,1975,592,30474,2107
Sóc Trăng,2010,101,1838,60476,30068,15495,4037,2071,696,30408,1966
Sóc Trăng,2011,103,1927,64050,31756,17090,4281,2106,700,32294,2175
Sóc Trăng,2012,111,1968,66073,33188,18807,4367,2056,705,32885,2311
Sóc Trăng,2013,110,2000,69635,34818,21661,4368,2168,1165,34817,2200
Sóc Trăng,2014,113,2079,72905,35823,21980,4416,2196,900,37082,2220
Sóc Trăng,2015,111,2064,72262,36034,22352,4491,2232,981,36228,2259
Sóc Trăng,2016,110,1979,72809,36271,23400,4416,2194,1006,36538,2222
Sóc Trăng,2017,110,1931,72503,36395,23642,4352,2168,998,36108,2184
Sóc Trăng,2018,108,1950,45953,35607,23999,4211,2114,1007,10346,2097
Sóc Trăng,2019,106,1939,71703,35657,24528,4052,2059,1016,36046,1993
Sóc Trăng,2020,95,1975,74018,36815,25600,3944,2014,997,37203,1930
Sóc Trăng,2021,94,1955,70398,35058,24315,3839,1968,978,35340,1871
Sơn La,2004,149,2369,78324,32620,64077,4382,2678,817,45704,1704
Sơn La,2005,178,2522,80857,35699,65094,4851,2851,1047,45158,2000
Sơn La,2006,192,2629,83740,36042,67032,4965,3097,980,47698,1868
Sơn La,2007,204,2641,82253,35611,69138,5174,3219,1050,46642,1955
Sơn La,2008,209,2603,78515,34075,66495,5489,3250,1229,44440,2239
Sơn La,2009,221,2693,76325,32962,65366,5099,3116,2006,43363,1983
Sơn La,2010,223,2993,74183,32343,60324,5224,3265,1256,41840,1959
Sơn La,2011,228,2463,69280,30497,59643,5163,3261,1335,38783,1902
Sơn La,2012,229,2613,70063,31066,60149,5103,3217,1414,38997,1886
Sơn La,2013,231,2464,71919,32214,61966,5098,3206,1424,39705,1892
Sơn La,2014,231,2482,75514,34350,64887,5104,3220,1475,41164,1884
Sơn La,2015,231,2504,78876,36141,67871,5116,3214,1524,42735,1902
Sơn La,2016,230,2503,82522,38348,71172,5099,3203,1521,44174,1896
Sơn La,2017,220,2513,85935,40100,74540,5065,3171,1558,45835,1894
Sơn La,2018,150,2498,88921,41826,77133,4781,3040,1510,47095,1741
Sơn La,2019,81,2515,91938,43582,79505,4691,2909,1463,48356,1782
Sơn La,2020,80,2566,95280,45386,82077,4772,2974,1520,49894,1798
Sơn La,2021,80,2626,98443,47296,84568,4792,2978,1595,51147,1814
