Địa phương,Năm,Lớp,Trường,Học sinh,Học sinh nữ,Học sinh dân tộc thiểu số,Giáo viên,Giáo viên nữ,Giáo viên dân tộc thiểu số,Học sinh nam,Giáo viên nam
Tây Ninh,2017,668,31,26850,14788,284,1409,785,0,12062,624
Tây Ninh,2018,673,28,27197,15163,277,1365,778,0,12034,587
Tây Ninh,2019,691,26,27990,15598,294,1361,772,0,12392,589
Tây Ninh,2020,712,26,29061,16289,385,1371,782,0,12772,589
Tây Ninh,2021,728,26,29647,16666,388,1380,796,0,12981,584
Vĩnh Long,2004,967,10,38431,18905,479,1453,845,0,19526,608
Vĩnh Long,2005,999,15,39522,19899,642,1723,1013,0,19623,710
Vĩnh Long,2006,981,16,38130,18674,592,1910,1139,0,19456,771
Vĩnh Long,2007,936,19,37068,18967,600,2118,1265,0,18101,853
Vĩnh Long,2008,903,20,35126,18097,495,2136,1253,0,17029,883
Vĩnh Long,2009,869,21,34044,17688,512,2174,1276,0,16356,898
Vĩnh Long,2010,846,21,32880,17157,470,2196,1323,0,15723,873
Vĩnh Long,2011,825,22,32238,16966,452,2190,1230,0,15272,960
Vĩnh Long,2012,818,23,30527,16629,448,2170,1309,0,13898,861
Vĩnh Long,2013,804,23,28035,15145,401,2135,1273,0,12890,862
Vĩnh Long,2014,798,23,27598,14980,417,2067,1236,0,12618,831
Vĩnh Long,2015,813,23,27796,15098,423,2029,1222,0,12698,807
Vĩnh Long,2016,855,23,29680,16090,431,2060,1243,0,13590,817
Vĩnh Long,2017,897,24,29956,16185,460,2056,1248,24,13771,808
Vĩnh Long,2018,863,24,41598,16421,501,2018,1228,26,25177,790
Vĩnh Long,2019,867,24,29672,16204,603,1988,1209,29,13468,779
Vĩnh Long,2020,861,24,29611,16170,563,1966,1202,31,13441,764
Vĩnh Long,2021,867,24,29702,16001,601,1956,1200,33,13701,756
Vĩnh Phúc,2004,988,38,47265,21649,1122,1909,1117,0,25616,792
Vĩnh Phúc,2005,1014,38,48394,23122,1259,2026,1186,0,25272,840
Vĩnh Phúc,2006,1036,43,48695,23367,1382,1993,1228,0,25328,765
Vĩnh Phúc,2007,1065,43,48468,24510,1310,2182,1361,0,23958,821
Vĩnh Phúc,2008,922,37,40879,20295,2256,1900,1221,0,20584,679
Vĩnh Phúc,2009,906,38,39113,16742,1525,1827,1272,0,22371,555
Vĩnh Phúc,2010,878,36,37416,15815,1318,1999,1435,0,21601,564
Vĩnh Phúc,2011,846,36,35537,19192,1,2059,1507,0,16345,552
Vĩnh Phúc,2012,847,37,33722,18348,1328,2014,1421,0,15374,593
Vĩnh Phúc,2013,842,37,31260,17391,1332,2102,1569,58,13869,533
Vĩnh Phúc,2014,811,37,28802,15925,1294,2054,1544,58,12877,510
Vĩnh Phúc,2015,809,37,28065,15699,1351,2079,1549,48,12366,530
Vĩnh Phúc,2016,807,37,28096,15529,1268,2015,1523,34,12567,492
Vĩnh Phúc,2017,810,34,28418,15910,1300,1973,1492,45,12508,481
Vĩnh Phúc,2018,776,32,29443,16335,1357,1887,1456,59,13108,431
Vĩnh Phúc,2019,776,31,30326,20126,4018,1871,1419,73,10200,452
Vĩnh Phúc,2020,819,29,40427,20705,4235,1860,1414,72,19722,446
Vĩnh Phúc,2021,843,29,33463,18312,1543,1841,1399,75,15151,442
Yên Bái,2004,612,21,26777,12501,10409,1077,773,122,14276,304
Yên Bái,2005,698,21,30298,14176,12122,1173,782,141,16122,391
Yên Bái,2006,720,21,31192,14823,12714,1294,873,148,16369,421
Yên Bái,2007,646,22,25456,12911,9772,1369,905,156,12545,464
Yên Bái,2008,584,23,21933,11431,8143,1383,918,207,10502,465
Yên Bái,2009,535,24,20523,10800,7591,1382,925,198,9723,457
Yên Bái,2010,540,24,20869,10901,8067,1313,887,218,9968,426
Yên Bái,2011,536,24,20747,10492,8236,1340,781,212,10255,559
Yên Bái,2012,515,24,19800,9807,8421,1259,861,205,9993,398
Yên Bái,2013,503,24,18931,9395,8442,1261,816,221,9536,445
Yên Bái,2014,488,24,18363,9160,8325,1230,836,223,9203,394
Yên Bái,2015,482,24,18568,9393,8612,1190,809,218,9175,381
Yên Bái,2016,475,24,18765,9523,8561,1143,789,201,9242,354
Yên Bái,2017,473,24,19245,9819,8672,1102,760,201,9426,342
Yên Bái,2018,471,24,19689,10170,8657,1045,739,202,9519,306
Yên Bái,2019,477,24,20269,7371,14251,1040,718,202,12898,322
Yên Bái,2020,482,24,20759,10807,9681,1019,706,197,9952,313
Yên Bái,2021,493,23,21153,11126,10206,1005,695,198,10027,310
Điện Biên,2004,292,16,11976,4793,6744,539,352,38,7183,187
Điện Biên,2005,344,16,14135,5609,8888,670,445,61,8526,225
Điện Biên,2006,381,18,14561,6202,9276,738,407,55,8359,331
Điện Biên,2007,386,18,14462,6821,10579,891,452,67,7641,439
Điện Biên,2008,388,21,14193,5312,8800,874,541,52,8881,333
Điện Biên,2009,389,28,14026,6080,10000,998,633,79,7946,365
Điện Biên,2010,437,28,14504,6019,10051,1045,647,95,8485,398
Điện Biên,2011,469,29,15449,6421,11657,1049,650,98,9028,399
Điện Biên,2012,487,28,15751,6343,11992,1143,695,101,9408,448
Điện Biên,2013,501,28,15877,6315,12216,1173,735,175,9562,438
Điện Biên,2014,504,31,15384,6101,12042,1157,702,167,9283,455
Điện Biên,2015,505,31,15194,6465,12299,1190,751,190,8729,439
Điện Biên,2016,498,21,15753,6434,12372,1182,753,183,9319,429
Điện Biên,2017,507,21,16394,6629,12882,1178,758,191,9765,420
Điện Biên,2018,514,25,16632,6849,13114,1190,763,213,9783,427
Điện Biên,2019,512,29,17931,6959,11239,1191,768,235,10972,423
Điện Biên,2020,524,29,19043,8088,15119,1179,764,230,10955,415
Điện Biên,2021,517,29,20107,8660,16077,1212,781,252,11447,431
Đà Nẵng,2004,605,16,29522,15613,0,1228,798,0,13909,430
Đà Nẵng,2005,667,17,32187,16965,0,1410,936,0,15222,474
Đà Nẵng,2006,695,19,33773,16856,74,1496,1007,0,16917,489
Đà Nẵng,2007,715,19,34320,18168,0,1588,1102,0,16152,486
Đà Nẵng,2008,712,20,34177,18454,0,1616,1142,0,15723,474
Đà Nẵng,2009,716,20,33657,18352,0,1629,1150,0,15305,479
Đà Nẵng,2010,679,20,34022,18531,0,1686,1208,0,15491,478
Đà Nẵng,2011,729,19,34076,18257,0,1690,1225,0,15819,465
Đà Nẵng,2012,738,20,33673,18361,0,1691,1209,0,15312,482
Đà Nẵng,2013,730,20,30987,16403,0,1701,1212,0,14584,489
Đà Nẵng,2014,724,20,29608,15447,0,1710,1255,0,14161,455
Đà Nẵng,2015,725,22,28947,15222,0,1694,1245,0,13725,449
Đà Nẵng,2016,753,23,29396,15736,0,1737,1274,0,13660,463
Đà Nẵng,2017,765,22,29574,15662,0,1790,1326,0,13912,464
Đà Nẵng,2018,796,23,30500,16246,123,1696,1356,0,14254,340
Đà Nẵng,2019,859,24,32491,17191,167,1828,1386,0,15300,442
Đà Nẵng,2020,910,24,34632,18541,143,1989,1523,0,16091,466
Đà Nẵng,2021,931,24,34980,18743,119,2041,1555,0,16237,486
Đắk Lắk,2004,1312,26,63958,31974,10148,2060,848,89,31984,1212
Đắk Lắk,2005,1611,29,74958,38688,13397,2251,997,88,36270,1254
Đắk Lắk,2006,1701,32,80432,40447,15862,2692,1330,108,39985,1362
Đắk Lắk,2007,1771,40,79709,43770,15197,3152,1466,142,35939,1686
Đắk Lắk,2008,1791,47,76020,43934,13044,3212,1535,133,32086,1677
Đắk Lắk,2009,1659,49,70216,36673,11612,3397,1798,198,33543,1599
Đắk Lắk,2010,1643,52,71664,37007,12165,3473,1830,215,34657,1643
Đắk Lắk,2011,1654,52,71521,36474,13278,3561,1852,219,35047,1709
Đắk Lắk,2012,1656,52,71514,37787,13463,3505,1924,223,33727,1581
Đắk Lắk,2013,1651,52,68919,39161,13853,3893,1866,239,29758,2027
Đắk Lắk,2014,1616,52,64095,36026,13972,3582,2027,266,28069,1555
Đắk Lắk,2015,1626,52,63766,35638,14075,3560,1987,267,28128,1573
Đắk Lắk,2016,1631,52,62607,35229,13276,3575,2042,283,27378,1533
Đắk Lắk,2017,1588,52,60780,33918,13087,3587,2056,274,26862,1531
Đắk Lắk,2018,1576,52,57864,31944,12185,2711,2020,272,25920,691
Đắk Lắk,2019,1584,53,58718,32284,13153,3425,1983,270,26434,1442
Đắk Lắk,2020,1587,53,59797,33139,13131,3369,1959,267,26658,1410
Đắk Lắk,2021,1595,54,60894,33668,13591,3393,2001,278,27226,1392
Đắk Nông,2004,244,8,10624,5090,1357,357,172,16,5534,185
Đắk Nông,2005,319,8,7550,4102,524,445,213,12,3448,232
Đắk Nông,2006,366,12,13460,6795,1355,568,281,21,6665,287
Đắk Nông,2007,432,16,16408,9331,3246,784,405,18,7077,379
Đắk Nông,2008,419,18,16754,9005,3071,887,424,35,7749,463
Đắk Nông,2009,434,18,17857,9289,3181,935,540,49,8568,395
Đắk Nông,2010,453,19,17298,9598,3321,1075,612,72,7700,463
Đắk Nông,2011,468,22,18160,9947,3654,1100,586,74,8213,514
Đắk Nông,2012,475,24,18355,9915,3531,1091,599,75,8440,492
Đắk Nông,2013,481,23,18179,9863,3811,1168,658,83,8316,510
Đắk Nông,2014,494,23,17966,9835,3950,1199,680,84,8131,519
Đắk Nông,2015,503,24,18307,10203,4097,1209,684,82,8104,525
Đắk Nông,2016,513,24,18962,10516,4194,1211,721,86,8446,490
Đắk Nông,2017,521,25,19107,10537,4200,1205,720,89,8570,485
Đắk Nông,2018,525,24,19273,10565,4216,1186,724,94,8708,462
Đắk Nông,2019,516,24,20078,10865,4569,1216,729,100,9213,487
Đắk Nông,2020,529,24,21133,11290,4829,1206,726,102,9843,480
Đắk Nông,2021,541,24,21970,11717,5077,1192,721,98,10253,471
Đồng Nai,2004,1536,45,72011,38343,1337,2257,1218,0,33668,1039
Đồng Nai,2005,1633,50,78817,39772,1361,2545,1297,0,39045,1248
Đồng Nai,2006,1698,47,81549,41405,1667,2886,1600,18,40144,1286
Đồng Nai,2007,1749,48,80966,39763,1671,3054,1675,23,41203,1379
Đồng Nai,2008,1756,46,79848,45516,1778,3300,1711,39,34332,1589
Đồng Nai,2009,1753,43,76316,45161,1872,3599,1937,64,31155,1662
Đồng Nai,2010,1784,48,78708,42738,1785,3687,1997,93,35970,1690
Đồng Nai,2011,1811,48,78076,43159,4315,3860,2193,62,34917,1667
Đồng Nai,2012,1797,50,77582,43237,3554,3828,2166,30,34345,1662
Đồng Nai,2013,1771,50,73152,40138,4493,3817,1811,33,33014,2006
Đồng Nai,2014,1882,47,70403,38562,4277,3917,2302,33,31841,1615
Đồng Nai,2015,1817,47,71058,40106,4191,3956,2337,39,30952,1619
Đồng Nai,2016,1844,48,73381,41889,3848,3898,2313,42,31492,1585
Đồng Nai,2017,1886,49,74830,42039,3947,3996,2371,40,32791,1625
Đồng Nai,2018,1874,50,72795,41003,3776,3360,2323,58,31792,1037
Đồng Nai,2019,1916,51,77365,43283,3865,3760,2275,77,34082,1485
Đồng Nai,2020,1953,50,79968,44715,3941,3776,2302,76,35253,1474
Đồng Nai,2021,1987,50,82334,45421,4168,3928,2411,76,36913,1517
Đồng Tháp,2004,991,24,40694,19604,0,1875,848,0,21090,1027
Đồng Tháp,2005,1055,36,43185,20840,0,2114,990,0,22345,1124
Đồng Tháp,2006,1111,37,45301,22777,0,2270,1006,0,22524,1264
Đồng Tháp,2007,1107,39,45109,23945,0,2350,1114,0,21164,1236
Đồng Tháp,2008,1148,40,46415,19612,0,2434,1165,0,26803,1269
Đồng Tháp,2009,1140,42,44819,23818,0,2812,1465,0,21001,1347
Đồng Tháp,2010,1086,40,41750,21964,0,2704,1416,0,19786,1288
Đồng Tháp,2011,1049,41,39039,21352,0,2544,1324,0,17687,1220
Đồng Tháp,2012,1059,40,39847,21815,0,2541,1325,0,18032,1216
Đồng Tháp,2013,1052,40,38410,19903,0,2511,1308,0,18507,1203
Đồng Tháp,2014,1055,40,38254,20306,0,2482,1296,0,17948,1186
Đồng Tháp,2015,1043,40,38538,20343,0,2465,1293,0,18195,1172
Đồng Tháp,2016,1061,40,40084,21517,0,2421,1269,0,18567,1152
Đồng Tháp,2017,1069,39,40230,21500,0,2453,1244,0,18730,1209
Đồng Tháp,2018,1071,38,46737,22591,37,2417,1259,0,24146,1158
Đồng Tháp,2019,1087,37,42026,23094,41,2407,1274,0,18932,1133
Đồng Tháp,2020,1144,37,44115,23946,35,2445,1299,0,20169,1146
Đồng Tháp,2021,1175,36,45511,24529,39,2476,1321,0,20982,1155
