short_name,industry,net_asset_percent
MDI,Xây dựng,1.39
MDI,Khai khoáng,1.12
MDI,Thiết bị điện,0.97
MDI,Chế biến thủy sản,0.64
GFM-VIF,Ngân hàng,37.44
GFM-VIF,Bất động sản,9.38
GFM-VIF,Sản xuất Phụ trợ,8.69
GFM-VIF,Thiết bị điện,7.31
GFM-VIF,Thực phẩm - Đồ uống,6.89
GFM-VIF,Bán buôn,5.8
GFM-VIF,Xây dựng,3.47
GFM-VIF,Sản xuất Hàng gia dụng,3.36
GFM-VIF,Sản xuất Nhựa - Hóa chất,2.76
GFM-VIF,Bảo hiểm,2.57
GFM-VIF,Chứng khoán,2.53
GFM-VIF,Vật liệu xây dựng,2.47
GFM-VIF,Tiện ích,2.41
GFM-VIF,Bán lẻ,2.41
GFM-VIF,Công nghệ và thông tin,1.94
GFM-VIF,Vận tải - Kho bãi,0.01
VDEF,Ngân hàng,25.45
VDEF,Bất động sản,17.32
VDEF,Sản xuất Nhựa - Hóa chất,12.24
VDEF,Bảo hiểm,10.67
VDEF,Thực phẩm - Đồ uống,4.2
VDEF,Tiện ích,3.57
VDEF,Bán buôn,3.45
VDEF,Xây dựng,3.4
VDEF,"Sản xuất Thiết bị, máy móc",3.39
VDEF,Vận tải - Kho bãi,3.38
VDEF,Chăm sóc sức khỏe,3.22
VDEF,Công nghệ và thông tin,2.83
VDEF,Vật liệu xây dựng,2.65
UVEEF,Ngân hàng,44.02
UVEEF,Công nghệ và thông tin,7.44
UVEEF,Vận tải - Kho bãi,5.17
UVEEF,Thiết bị điện,4.1
UVEEF,Tiện ích,3.77
UVEEF,Chứng khoán,3.42
UVEEF,Sản xuất Nhựa - Hóa chất,3.29
UVEEF,Sản xuất Phụ trợ,3.15
UVEEF,Bán lẻ,2.94
UVEEF,Chế biến thủy sản,2.33
UVEEF,Sản xuất Hàng gia dụng,2.09
UVEEF,Xây dựng,2.01
UVEEF,Bất động sản,1.91
UVEEF,Vật liệu xây dựng,1.9
UVEEF,Thực phẩm - Đồ uống,1.2
VMEEF,Ngân hàng,39.69
VMEEF,Công nghệ và thông tin,7.49
VMEEF,Tiện ích,6.96
VMEEF,Bảo hiểm,5.87
VMEEF,Vận tải - Kho bãi,5.77
VMEEF,Bán lẻ,4.07
VMEEF,Vật liệu xây dựng,2.98
VMEEF,Chứng khoán,2.94
VMEEF,Sản xuất Phụ trợ,2.89
VMEEF,Thiết bị điện,2.87
VMEEF,Sản xuất Nhựa - Hóa chất,2.82
VMEEF,Bất động sản,2.4
VMEEF,Thực phẩm - Đồ uống,2.31
VMEEF,Khai khoáng,1.93
VMEEF,Chăm sóc sức khỏe,1.73
VMEEF,Dịch vụ viễn thông,1.03
PHVSF,Ngân hàng,37.47
PHVSF,Bất động sản,9.24
PHVSF,Tiện ích,8.48
PHVSF,Thực phẩm - Đồ uống,7.3
PHVSF,Vật liệu xây dựng,4.2
PHVSF,Công nghệ và thông tin,4.07
PHVSF,Sản xuất Nhựa - Hóa chất,2.85
PHVSF,Thiết bị điện,2.41
PHVSF,Bảo hiểm,1.94
PHVSF,Bán lẻ,1.84
PHVSF,Vận tải - Kho bãi,1.84
PHVSF,"Dịch vụ tư vấn, hỗ trợ",1.46
PHVSF,Chăm sóc sức khỏe,1.16
PHVSF,Chứng khoán,1.05
PHVSF,Khai khoáng,0.73
PHVSF,Xây dựng,0.43
PBIF,Bất động sản,19.83
PBIF,Thực phẩm - Đồ uống,17.59
PBIF,Ngân hàng,11.45
PBIF,Vận tải - Kho bãi,9.8
PBIF,Xây dựng,7.23
PBIF,Tiện ích,6.51
PBIF,Nông - Lâm - Ngư,4.84
PBIF,Khai khoáng,4.37
PBIF,Vật liệu xây dựng,4.11
PBIF,Bán buôn,3.04
PBIF,Sản xuất Phụ trợ,2.96
PBIF,Sản xuất Nhựa - Hóa chất,2.47
PBIF,Bán lẻ,1.3
PBIF,Chế biến thủy sản,0.18
NTPPF,Ngân hàng,21.8
NTPPF,Công nghệ và thông tin,12.3
NTPPF,Chứng khoán,8.3
NTPPF,Xây dựng,5.2
NTPPF,Sản xuất Nhựa - Hóa chất,4.7
NTPPF,Vận tải - Kho bãi,4.7
NTPPF,Vật liệu xây dựng,4.5
RVPIF,Bất động sản,13.16
RVPIF,Ngân hàng,8.25
RVPIF,Bán buôn,3.58
RVPIF,Bán lẻ,2.7
RVPIF,Sản xuất Nhựa - Hóa chất,1.82
RVPIF,Thực phẩm - Đồ uống,1.8
RVPIF,Vận tải - Kho bãi,1.8
RVPIF,Công nghệ và thông tin,1.8
RVPIF,Dệt may,1.76
RVPIF,Sản phẩm cao su,0.93
VCBF-AIF,Ngân hàng,27.29
VCBF-AIF,Công nghệ và thông tin,8.6
VCBF-AIF,Thực phẩm - Đồ uống,8.54
VCBF-AIF,Sản xuất Phụ trợ,7.61
VCBF-AIF,Bất động sản,6.38
VCBF-AIF,Tiện ích,5.75
VCBF-AIF,Vật liệu xây dựng,5.21
VCBF-AIF,Bảo hiểm,4.77
VCBF-AIF,Vận tải - Kho bãi,3.94
VCBF-AIF,Bán lẻ,3.69
VCBF-AIF,Sản xuất Nhựa - Hóa chất,2.85
VCBF-AIF,Chứng khoán,1.94
VCBF-AIF,Chăm sóc sức khỏe,1.91
VCBF-AIF,Khai khoáng,1.85
VCBF-AIF,Xây dựng,0.93
